BibliographyType,ISBN,Identifier,aut1,aut2,aut3,aut4,aut5,aut6,aut7,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,,Cook:2005aa,"Cook, Nigel C."," Bellen, An"," Cronje, Paul J. R."," De Wit, Inge"," Keulemans, Wannes"," Van den Putte, An "," Steyn, Wiehann","Cook, Nigel C.; Bellen, An; Cronje, Paul J. R.; De Wit, Inge; Keulemans, Wannes; Van den Putte, An & Steyn, Wiehann",Freezing temperature treatment induces bud dormancy in `Granny Smith'apple shoots,Scientia horticulturae,106,2,,170--176,2005,,,,,,,,,Elsevier,,,,,,,,,cook05,,
7,,Cronje:2003aa,"Cronje, P. J. R."," Jacobs, G."," Sadie, A. "," Cook, N. C.",,,,"Cronje, P. J. R.; Jacobs, G.; Sadie, A. & Cook, N. C.",Quantification of the dormancy progression in terminal apple buds. Changes in growth rate and water status,Advances in horticultural science,,,,105--110,2003,,,,,,,,,JSTOR,,,,,,,,,cronje03,,
7,,Dantec:2014aa,"Dantec, Cecile F."," Vitasse, Yann"," Bonhomme, Marc"," Louvet, Jean-Marc"," Kremer, Antoine "," Delzon, Sylvain",,"Dantec, Cecile F.; Vitasse, Yann; Bonhomme, Marc; Louvet, Jean-Marc; Kremer, Antoine & Delzon, Sylvain",Chilling and heat requirements for leaf unfolding in European beech and sessile oak populations at the southern limit of their distribution range,International journal of biometeorology,58,9,,1853--1864,2014,,,,,,,,,Springer,,,,,,,,,dantec14,,
7,,DeVries:1982aa,"De Vries, D. P."," Smeets, L. "," Dubois, Lidwien A. M.",,,,,"De Vries, D. P.; Smeets, L. & Dubois, Lidwien A. M.","Interaction of temperature and light on growth and development of hybrid tea-rose seedlings, with reference to breeding for low-energy requirements",Scientia Horticulturae,17,4,,377--382,1982,,,,,,,,,Elsevier,,,,,,,,,devries82,,
7,,Durner:1987aa,"Durner, Edward F. "," Poling, E.  Barclay",,,,,,"Durner, Edward F. & Poling, E.  Barclay","Flower bud induction, initiation, differentiation and development in the `Earliglow'strawberry",Scientia horticulturae,31,1,,61--69,1987,,,,,,,,,Elsevier,,,,,,,,,durner84,,
7,,Falusi:2003aa,"Falusi, Mauro "," Calamassi, Roberto",,,,,,"Falusi, Mauro & Calamassi, Roberto",Dormancy of Fagus sylvatica L. buds III. Temperature and hormones in the evolution of dormancy in one-node cuttings,Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biology,137,2,,185--191,2003,,,,,,,,,Taylor \& Francis,,,,,,,,,falusi03,,
7,,Falusi:1997aa,"Falusi, M. "," Calamassi, R.",,,,,,"Falusi, M. & Calamassi, R.",Bud dormancy in Fagus sylvatica L. II. The evolution of dormancy in seedlings and one-node cuttings,Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biology,131,2,,143--148,1997,,,,,,,,,Taylor \& Francis,,,,,,,,,falusi97,,
6,,Falusi:1996aa,"Falusi, M. "," Calamassi, R.",,,,,,"Falusi, M. & Calamassi, R.",Geographic variation and bud dormancy in beech seedlings (Fagus sylvatica L),,53,,,967-979,1996,,,,Annales des Sciences foresti{\`e}res,,,,,EDP Sciences,,,,,,,,,falusi96,,
7,,Falusi:1990aa,"Falusi, M. "," Calamassi, R.",,,,,,"Falusi, M. & Calamassi, R.",Bud dormancy in beech (Fagus sylvatica L.). Effect of chilling and photoperiod on dormancy release of beech seedlings,Tree physiology,6,4,,429--438,1990,,,,,,,,,Oxford University Press,,,,,,,,,falusi90,,
7,,Fu:2013aa,"Fu, Yongshuo H."," Campioli, Matteo"," Deckmyn, Gaby "," Janssens, Ivan A.",,,,"Fu, Yongshuo H.; Campioli, Matteo; Deckmyn, Gaby & Janssens, Ivan A.",Sensitivity of leaf unfolding to experimental warming in three temperate tree species,Agricultural and Forest Meteorology,181,,,125--132,2013,,,,,,,,,Elsevier,,,,,,,,,fu13,,
7,,Gomory:2015aa,"Gomory, D."," Foffova, E."," Longauer,  Roma"," Krajmerova, D.",,,,"Gomory, D.; Foffova, E.; Longauer,  Roma; Krajmerova, D.",Memory effects associated with early-growth environment in Norway spruce and European larch,European Journal of Forest Research,134,1,,89--97,2015,,,,,,,,,Springer,,,,,,,,,gomory15,,
7,,Gansert:2002aa,"Gansert, Dirk",,,,,,,"Gansert, Dirk","Betula ermanii, a dominant subalpine and subarctic treeline tree species in Japan: ecological traits of deciduous tree life in winter","Arctic, Antarctic, and Alpine Research",,,,57--64,2002,,,,,,,,,JSTOR,,,,,,,,,gansert02,,
7,,Ghelardini:2010aa,"Ghelardini, Luisa"," Santini, Alberto"," Black-Samuelsson, Sanna"," Myking, Tor "," Falusi, Mauro",,,"Ghelardini, Luisa; Santini, Alberto; Black-Samuelsson, Sanna; Myking, Tor & Falusi, Mauro",Bud dormancy release in elm (Ulmus spp.) clones---a case study of photoperiod and temperature responses,Tree physiology,30,2,,264-274,2010,,,http://treephys.oxfordjournals.org/content/30/2/264.full.pdf,,,,,,,,,,,,,,,ghelardini10,,
7,,Gianfagna:1985aa,"Gianfagna, T. J. "," Mehlenbacher, S. A.",,,,,,"Gianfagna, T. J. & Mehlenbacher, S. A.",Importance of heat requirement for bud break and time of flowering in apple,HortScience,20,5,,909--911,1985,,,,,,,,,American Society for Horticultural Science,,,,,,,,,gianfagna85,,
7,,Granhus:2009aa,"Granhus, Aksel"," FlOistad, Inger Sundheim "," SOgaard, Gunnhild",,,,,"Granhus, Aksel; FlOistad, Inger Sundheim & SOgaard, Gunnhild",Bud burst timing in Picea abies seedlings as affected by temperature during dormancy induction and mild spells during chilling,Tree physiology,29,4,,497-503,2009,,,http://treephys.oxfordjournals.org/content/29/4/497.full.pdf,,,,,,,,,,,,,,,granhus09,,
7,,Guak:1998aa,"Guak, Sunghee"," Olsyzk, David M."," Fuchigami, Leslie H. "," Tingey, David T.",,,,"Guak, Sunghee; Olsyzk, David M.; Fuchigami, Leslie H. & Tingey, David T.",Effects of elevated CO2 and temperature on cold hardiness and spring bud burst and growth in Douglas-fir (Pseudotsuga menziesii),Tree Physiology,18,10,,671--679,1998,,,,,,,,,Oxford University Press,,,,,,,,,guak98,,
6,,guerriero:1990,"Guerriero, P."," Scalabrelli, G. "," Grazzini, G.",,,,,"Guerriero, P.; Scalabrelli, G. & Grazzini, G.",Chilling effect on inhibition removal in kiwifruit dormant lateral buds,,,,,79--86,1990,,,,I International Symposium on Kiwifruit 282,,,,,,,,,,,,,,guerriero90,,
7,,Gunderson:2012aa,"Gunderson, Carla A."," Edwards, Nelson T."," Walker, Ashley V."," OHara, Keiran H."," Campion, Christina M. "," Hanson, Paul J.",,"Gunderson, Carla A.; Edwards, Nelson T.; Walker, Ashley V.; OHara, Keiran H.; Campion, Christina M. & Hanson, Paul J.",Forest phenology and a warmer climate--growing season extension in relation to climatic provenance,Global Change Biology,18,6,,2008--2025,2012,,,,,,,,,Wiley Online Library,,,,,,,,,gunderson12,,
7,,Gutterman:1988aa,"Gutterman, Yitzchak "," Boeken, Bertrand",,,,,,"Gutterman, Yitzchak & Boeken, Bertrand","Flowering affected by daylength and temperature in the leafless flowering desert geophyte Colchicum tunicatum, its annual life cycle and vegetative propagation",Botanical Gazette,,,,382--390,1988,,,,,,,,,JSTOR,,,,,,,,,gutterman88,,
7,,Hawerroth:2013aa,"Hawerroth, Fernando Jose"," Herter, Flavio Gilberto"," Petri, Jose Luiz"," Marafon, Anderson Carlos "," Leonetti, Jeison Furtado",,,"Hawerroth, Fernando Jose; Herter, Flavio Gilberto; Petri, Jose Luiz; Marafon, Anderson Carlos & Leonetti, Jeison Furtado",Evaluation of winter temperatures on apple budbreak using grafted twigs,Revista Brasileira de Fruticultura,35,3,,713--721,2013,,,,,,,,,SciELO Brasil,,,,,,,,,hawerroth13,,
7,,Hawkins:2012,"Hawkins, Christopher D. B. "," Dhar, Amalesh",,,,,,"Hawkins, Christopher D. B. & Dhar, Amalesh",Spring bud phenology of 18 Betula papyrifera populations in British Columbia,Scandinavian Journal of Forest Research,27,6,,507--519,2012,,,,,,,,,Taylor & Francis,,,,,,,,,hawkins12,,
7,,Heide:2003aa,"Heide, O. M.",,,,,,,"Heide, O. M.","High autumn temperature delays spring bud burst in boreal trees, counterbalancing the effect of climatic warming",Tree Physiology,23,13,,931--936,2003,,,,,,,,,Oxford University Press,,,,,,,,,heide03,,
7,,Heide:2001aa,"Heide, O. M.",,,,,,,"Heide, O. M.",Photoperiodic control of dormancy in Sedum telephium and some other herbaceous perennial plants,Physiologia plantarum,113,3,,332--337,2001,,,,,,,,,Wiley Online Library,,,,,,,,,heide01,,
7,,Heide:1993,"Heide, O. M.",,,,,,,"Heide, O. M.",Daylength and thermal time responses of budburst during dormancy release in some northern deciduous trees,Physiologia Plantarum,88,4,,531--540,1993,,,,,,,,,Wiley Online Library,,,,,,,,,heide93,,
7,,Heide:1993a,"Heide, O. M.",,,,,,,"Heide, O. M.",Dormancy release in beech buds (Fagus sylvatica) requires both chilling and long days,Physiologia Plantarum,89,1,,187-191,1993,,,,,,,,,,,,,,,,,,heide93a,,
7,,Heide:2005aa,"Heide, O. M. "," Prestrud, A. K.",,,,,,"Heide, O. M. & Prestrud, A. K.","Low temperature, but not photoperiod, controls growth cessation and dormancy induction and release in apple and pear",Tree Physiology,25,1,,109--114,2005,,,,,,,,,Oxford University Press,,,,,,,,,heide05,,
7,,Heide:2011aa,"Heide, Ola M.",,,,,,,"Heide, Ola M.",Temperature rather than photoperiod controls growth cessation and dormancy in Sorbus species,Journal of experimental botany,,,,err213,2011,,,,,,,,,,,,,,,,,,heide11,,
7,,Heide:2008aa,"Heide, Ola M.",,,,,,,"Heide, Ola M.",Interaction of photoperiod and temperature in the control of growth and dormancy of Prunus species,Scientia Horticulturae,115,3,,309--314,2008,,,,,,,,,Elsevier,,,,,,,,,heide08,,
7,,HEIDE:1977aa,"HEIDE, O. L. A.  M.",,,,,,,"HEIDE, O. L. A.  M.",Photoperiod and temperature interactions in growth and flowering of strawberry,Physiologia Plantarum,40,1,,21--26,1977,,,,,,,,,Wiley Online Library,,,,,,,,,heide77,,
7,,Heide:2012aa,"Heide, Ola M. "," Sonsteby, Anita",,,,,,"Heide, Ola M. & Sonsteby, Anita","Floral initiation in black currant cultivars (Ribes nigrum L.): Effects of plant size, photoperiod, temperature, and duration of short day exposure",Scientia Horticulturae,138,,,64--72,2012,,,,,,,,,Elsevier,,,,,,,,,heide12,,
7,,Heide:2007aa,"Heide, Ola M. "," Sonsteby, Anita",,,,,,"Heide, Ola M. & Sonsteby, Anita",Interactions of temperature and photoperiod in the control of flowering of latitudinal and altitudinal populations of wild strawberry (Fragaria vesca),Physiologia Plantarum,130,2,,280--289,2007,,,,,,,,,Wiley Online Library,,,,,,,,,heide07,,
7,,Heide:2015aa,"Heide, O. M. "," Sonsteby, A.",,,,,,"Heide, O. M. & Sonsteby, A.",Simultaneous dormancy induction interferes with short day floral induction in black currant (Ribes nigrum L.),Scientia Horticulturae,185,,,228-232,2015,,"Times Cited: 0 Heide, Ola M. Sonsteby, Anita 0",<Go to ISI>://WOS:000352046800029,,,,,,,,,,,,,"Blackcurrant is a short day plant that ceases growing and initiates flowers at photoperiods shorter than a critical length. Surprisingly, however, the flowering response was found to be several-fold stronger in the near-critical photoperiod of 15 h than in shorter photoperiods down to 10 h (Heide and Sonsteby, 2011). This unusual response of a short day plant was confirmed by the present experiments where plants were exposed to 15 and 10 h photoperiods for 5 weeks at 18 degrees C. Also, plants exposed to naturally decreasing day-length from July, produced significantly more flowers than plants exposed to the shorter day-lengths in August. Furthermore, plants exposed to controlled photoperiods decreasing from 15 h to 10 h responded in much the same way as those in constant 15 h, while the reverse changes from 10 h to 15 h mimicked the response to constant 10 h photoperiod. Superior flower induction was always associated with a gradual reduction in growth rate followed by a delayed cessation of growth, while the sparse-flowering plants underwent an early and abrupt cessation of growth. We therefore conclude that the prompt growth cessation induced by an abrupt change to SD well below the 'critical length also interferes with flowering by arresting floral initiation at an early stage. Accordingly, the optimum photoperiod for flowering in black currant must be short enough to allow flower initiation and still long enough to prevent premature dormancy. (C) 2015 Elsevier B.V. All rights reserved.",,heide15,,
7,,Howe:1995aa,"Howe, Glenn T."," Hackett, Wesley P."," Furnier, Glenn R. "," Klevorn, Richard E.",,,,"Howe, Glenn T.; Hackett, Wesley P.; Furnier, Glenn R. & Klevorn, Richard E.",Photoperiodic responses of a northern and southern ecotype of black cottonwood,Physiologia Plantarum,93,4,,695--708,1995,,,,,,,,,Wiley Online Library,,,,,,,,,howe95,,
7,,Jones:2012,"Jones, H. G."," Hillis, R. M."," Gordon, S. L. "," Brennan, R. M.",,,,"Jones, H. G.; Hillis, R. M.; Gordon, S. L. & Brennan, R. M.",An approach to the determination of winter chill requirements for different Ribes cultivars,Plant Biology,15,s1,,18--27,2012,,,,,,,,,Wiley Online Library,,,,,,,,,jones12,,
7,,Junttila:2012aa,"Junttila, Olavi "," HanninenH, H.",,,,,,"Junttila, Olavi & HanninenH, H.",The minimum temperature for budburst in Betula depends on the state of dormancy,Tree physiology,32,3,,337-345,2012,,,http://treephys.oxfordjournals.org/content/32/3/337.full.pdf,,,,,,,,,,,,,,,junttila12,,
7,,Karlsson:2003aa,"Karlsson, P. S."," Bylund, H."," Neuvonen, S."," Heino, S. "," Tjus, M.",,,"Karlsson, P. S.; Bylund, H.; Neuvonen, S.; Heino, S. & Tjus, M.",Climatic response of budburst in the mountain birch at two areas in northern Fennoscandia and possible responses to global change,Ecography,26,5,,617--625,2003,,,,,,,,,Wiley Online Library,,,,,,,,,karlsson03,,
7,,Kinet:1993aa,"Kinet, J. M.",,,,,,,"Kinet, J. M.","Environmental, chemical, and genetic control of flowering",Horticultural Reviews,15,,,279--334,1993,,,,,,,,,John Wiley \& Sons,,,,,,,,,kinet93,,
6,,Lamb:1948aa,"Lamb, Robert C.",,,,,,,"Lamb, Robert C.",Effect of temperatures above and below freezing on the breaking of rest in the Latham raspberry,,51,JUN,,313--315,1948,,,,Proceedings of the American Society for Horticultural Science,,,,,,,,,"AMER SOC HORTICULTURAL SCIENCE 701 NORTH SAINT ASAPH STREET, ALEXANDRIA, VA 22314-1998",,,,,lamb37,,
7,,Laube:2014a,"Laube, Julia"," Sparks, Tim H."," Estrella, Nicole"," Hofler,  Josef"," Ankerst, Donna P. "," Menzel, Annette",,"Laube, Julia; Sparks, Tim H.; Estrella, Nicole; Hofler,  Josef; Ankerst, Donna P. & Menzel, Annette",Chilling outweighs photoperiod in preventing precocious spring development,Global Change Biology,20,1,,170--182,2014,,,,,,,,,Wiley Online Library,,,,,,,,,laube14a,,
7,,Laube:2014b,"Laube, Julia"," Sparks, Tim H."," Estrella, Nicole "," Menzel, Annette",,,,"Laube, Julia; Sparks, Tim H.; Estrella, Nicole & Menzel, Annette",Does humidity trigger tree phenology? Proposal for an air humidity based framework for bud development in spring,New Phytologist,202,2,,350--355,2014,,,,,,,,,Wiley Online Library,,,,,,,,,laube14b,,
7,,Li:2005aa,"Li, Chunyang"," Welling, Annikki"," Puhakainen, Tuula", Vihera-Aarnio,,,,"Li, Chunyang; Welling, Annikki; Puhakainen, Tuula; Vihera-Aarnio", Anneli; Ernstsen, Arild; Junttila, Olavi; Heino, Pekka & Palva," E.  Tapio""",Differential responses of silver birch (Betula pendula) ecotypes to short-day photoperiod and low temperature,Tree physiology,25,12,,1563-1569,2005,,,http://treephys.oxfordjournals.org/content/25/12/1563.full.pdf,,,,,,,,,,li05,,
7,,Linkosalo:2006aa,"Linkosalo, Tapio "," Lechowicz, Martin J.",,,,,,"Linkosalo, Tapio & Lechowicz, Martin J.",Twilight far-red treatment advances leaf bud burst of silver birch (Betula pendula),Tree physiology,26,10,,1249-1256,2006,,,http://treephys.oxfordjournals.org/content/26/10/1249.full.pdf,,,,,,,,,,,,,,,linkosalo06,,
6,,lyndon:1977,"Lyndon, R. F.",,,,,,,"Lyndon, R. F.",Interacting processes in vegetative development and in the transition to flowering at the shoot apex.,,31,,,221,1977,,,,Symposia of the Society for Experimental Biology,,,,,,,,,,,,,,lyndon77,,
7,,Man:2010aa,"Man, Rongzhou "," Lu, Pengxin",,,,,,"Man, Rongzhou & Lu, Pengxin",Effects of thermal model and base temperature on estimates of thermal time to bud break in white spruce seedlings,Canadian journal of forest research,40,9,,1815--1820,2010,,,,,,,,,NRC Research Press,,,,,,,,,man10,,
7,,Manson:1991aa,"Manson, P. I. "," Snelgar, W. P.",,,,,,"Manson, P. I. & Snelgar, W. P.",Effect of time of budburst and apical shoot growth on flower production in kiwifruit,New Zealand Journal of Crop and Horticultural Science,19,4,,441--445,1991,,,,,,,,,Taylor \& Francis,,,,,,,,,manson91,,
7,,Morin:2010aa,"Morin, Xavier"," Roy, Jacques"," Sonie, Laurette "," Chuine, Isabelle",,,,"Morin, Xavier; Roy, Jacques; Sonie, Laurette & Chuine, Isabelle",Changes in leaf phenology of three European oak species in response to experimental climate change,New Phytologist,186,4,,900--910,2010,,,,,,,,,Wiley Online Library,,,,,,,,,morin10,,
7,,Myking:1998aa,"Myking, Tor",,,,,,,"Myking, Tor",Interrelations between respiration and dormancy in buds of three hardwood species with different chilling requirements for dormancy release,Trees,12,4,,224--229,1998,,,,,,,,,Springer,,,,,,,,,myking98,,
7,,Myking:1997aa,"Myking, Tor",,,,,,,"Myking, Tor",Effects of constant and fluctuating temperature on time to budburst in Betula pubescens and its relation to bud respiration,Trees,12,2,,107-112,1997,,,,,,,,,,,,,,,,,,myking97,,
7,,Myking:1995,"Myking, Tor "," Heide, O. M.",,,,,,"Myking, Tor & Heide, O. M.",Dormancy release and chilling requirement of buds of latitudinal ecotypes of Betula pendula and B. pubescens,Tree physiology,15,11,,697-704,1995,,,,,,,,,,,,,,,,,,myking95,,
7,,Nerd:1995aa,"Nerd, A. "," Mizrahi, Y.",,,,,,"Nerd, A. & Mizrahi, Y.",Effect of low winter temperatures on bud break in Opuntia ficus-indica,Advances in Horticultural Science,,,,188--191,1995,,,,,,,,,JSTOR,,,,,,,,,nerd95,,
7,,Nienstaedt:1966aa,"Nienstaedt, Hans",,,,,,,"Nienstaedt, Hans",Dormancy and dormancy release in white spruce,Forest Science,12,3,,374--384,1966,,,,,,,,,Society of American Foresters,,,,,,,,,nienstaedt66,,
7,,Nishimoto:1994aa,"Nishimoto, N. "," Fujisaki, M.",,,,,,"Nishimoto, N. & Fujisaki, M.",Chilling requirement of buds of some deciduous fruits grown in southern Japan and the means to break dormancy,Dormancy and the related Problems of Deciduous Fruit Trees 395,,,,153--160,1994,,,,,,,,,,,,,,,,,,nishimoto95,,
7,,Okie:2011aa,"Okie, William R. "," Blackburn, Bryan",,,,,,"Okie, William R. & Blackburn, Bryan",Interactive effects of light and chilling on peach flower and leaf budbreak,HortScience,46,7,,1056--1062,2011,,,,,,,,,American Society for Horticultural Science,,,,,,,,,okie11,,
7,,Pagter:2015,"Pagter, Majken"," Andersen, Uffe Brandt "," Andersen, Lillie",,,,,"Pagter, Majken; Andersen, Uffe Brandt & Andersen, Lillie","Winter warming delays dormancy release, advances budburst, alters carbohydrate metabolism and reduces yield in a temperate shrub",AoB plants,7,,,plv024,2015,,,,,,,,,,,,,,,,,,pagter15,,
7,,Partanen:2005aa,"Partanen, Jouni"," HanninenH, Heikki"," HanninenR, R.",,,,,"Partanen, Jouni; HanninenH, Heikki; HanninenR, R.",Bud burst in Norway spruce (Picea abies): preliminary evidence for age-specific rest patterns,Trees,19,1,,66--72,2005,,,,,,,,,Springer,,,,,,,,,partanen05,,
7,,Partanen:1998aa,"Partanen, Jouni"," Koski, Veikko "," HanninenH, Heikki",,,,,"Partanen, Jouni; Koski, Veikko & HanninenH, Heikki",Effects of photoperiod and temperature on the timing of bud burst in Norway spruce (Picea abies),Tree physiology,18,12,,811--816,1998,,,,,,,,,Oxford University Press,,,,,,,,,partanen98,,
7,,Partanen:2001aa,"Partanen, Jouni"," Leinonen, Ilkka "," Repo, Tapani",,,,,"Partanen, Jouni; Leinonen, Ilkka & Repo, Tapani",Effect of accumulated duration of the light period on bud burst in Norway spruce (Picea abies) of varying ages,Silva Fennica,35,1,,111-117,2001,,,,,,,,,,,,,,,,,,partanen01,,
7,,Pettersen:1972aa,"Pettersen, H.",,,,,,,"Pettersen, H.",effect of temperature and daylength on shoot growth and bud formation in azaleas,Amer Soc Hort Sci J,,,,,1972,,,,,,,,,,,,,,,,,,pettersen71,,
7,,Pop:2000aa,"Pop, Eric W."," Oberbauer, Steven F. "," Starr, Gregory",,,,,"Pop, Eric W.; Oberbauer, Steven F. & Starr, Gregory","Predicting vegetative bud break in two arctic deciduous shrub species, Salix pulchra and Betula nana",Oecologia,124,2,,176--184,2000,,,,,,,,,Springer,,,,,,,,,pop2000,,
7,,Runger:1981aa,"Runger,  W.", Fuhrer,,,,,,"Runger,  W.; Fuhrer"," Temperatur und Bl\""uhreaktion bei Schlumbergera (Zygocactus)/Day Length",,,,,209--213,1981,,,,,,,,,JSTOR,,,,,,,,,runger81,,
10,,ramos:1999,"Ramos, A. "," Rallo, L.",,,,,,"Ramos, A. & Rallo, L.","Effect of the bearing condition of the tree, chilling and defoliation on the forced budburst of olive cuttings at different tempeartures",,,,,251--254,1999,,,,III International Symposium on Olive Growing 474,,,,"Metzidakis, I. T. & Voyiatzis, D. G.",,,,,,,,,,ramos99,,
7,,Rinne:1997aa,"Rinne, P."," HanninenH,  H."," Kaikuranta,  P."," Jalonen,  J. E. "," Repo, T.",,,"Rinne, P.; HanninenH,  H.; Kaikuranta,  P.; Jalonen,  J. E. & Repo, T.",Freezing exposure releases bud dormancy in Betula pubescens and B. pendula,"Plant, Cell \& Environment",20,9,,1199--1204,1997,,,,,,,,,Wiley Online Library,,,,,,,,,rinne97,,
