year,tree.id,species,bb.doy,l75.doy,fbb.doy,fopn.doy
2012,ACRU-03,ACRU,120,144,82,82
2013,ACRU-03,ACRU,128,146,104,112
2014,ACRU-03,ACRU,137,153,111,122
2015,ACRU-03,ACRU,129,146,110,111
2016,ACRU-03,ACRU,135,151,90,107
2017,ACRU-03,ACRU,129,151,104,107
2018,ACRU-03,ACRU,130,149,112,125
2019,ACRU-03,ACRU,133,153,104,109
2020,ACRU-03,ACRU,138,153,94,105
2021,ACRU-03,ACRU,131,152,94,98
1990,ACRU-04,ACRU,124,145,96,108
1991,ACRU-04,ACRU,116,147,97,97
1992,ACRU-04,ACRU,134,157,120,122
1993,ACRU-04,ACRU,121,151,108,109
1994,ACRU-04,ACRU,128,147,108,110
1995,ACRU-04,ACRU,128,150,104,112
1996,ACRU-04,ACRU,120,151,111,111
1997,ACRU-04,ACRU,131,152,108,109
1998,ACRU-04,ACRU,113,137,93,96
1999,ACRU-04,ACRU,125,139,95,99
2000,ACRU-04,ACRU,128,156,93,94
2001,ACRU-04,ACRU,122,142,110,114
2002,ACRU-04,ACRU,127,151,100,103
2003,ACRU-04,ACRU,127,151,108,112
2004,ACRU-04,ACRU,124,138,106,109
2005,ACRU-04,ACRU,122,156,100,107
2006,ACRU-04,ACRU,124,149,95,105
2007,ACRU-04,ACRU,126,144,112,112
2008,ACRU-04,ACRU,122,148,111,111
2009,ACRU-04,ACRU,120,142,109,114
2010,ACRU-04,ACRU,109,135,94,98
2011,ACRU-04,ACRU,125,150,108,113
2012,ACRU-04,ACRU,109,140,NA,NA
2013,ACRU-04,ACRU,121,139,110,114
2014,ACRU-04,ACRU,135,152,NA,NA
2015,ACRU-04,ACRU,126,152,116,121
2016,ACRU-04,ACRU,132,151,NA,NA
2017,ACRU-04,ACRU,119,152,104,104
2018,ACRU-04,ACRU,126,149,NA,NA
2019,ACRU-04,ACRU,128,154,NA,NA
2020,ACRU-04,ACRU,137,154,102,104
2021,ACRU-04,ACRU,125,151,101,101
1990,ACRU-05,ACRU,119,139,96,101
1991,ACRU-05,ACRU,114,142,97,97
1992,ACRU-05,ACRU,131,166,120,122
1993,ACRU-05,ACRU,117,142,102,106
1994,ACRU-05,ACRU,122,146,108,112
1995,ACRU-05,ACRU,126,144,104,112
1996,ACRU-05,ACRU,120,141,106,112
1997,ACRU-05,ACRU,128,151,108,111
1998,ACRU-05,ACRU,111,132,93,97
1999,ACRU-05,ACRU,120,137,100,114
2000,ACRU-05,ACRU,127,145,93,98
2001,ACRU-05,ACRU,121,134,110,112
2002,ACRU-05,ACRU,108,140,100,104
2003,ACRU-05,ACRU,126,149,108,109
2004,ACRU-05,ACRU,122,138,106,108
2005,ACRU-05,ACRU,121,155,100,106
2006,ACRU-05,ACRU,121,148,95,103
2007,ACRU-05,ACRU,125,143,112,112
2008,ACRU-05,ACRU,117,146,104,110
2009,ACRU-05,ACRU,119,142,102,108
2010,ACRU-05,ACRU,106,129,94,95
2011,ACRU-05,ACRU,125,148,108,109
2012,ACRU-05,ACRU,107,137,82,82
2013,ACRU-05,ACRU,122,141,104,106
2014,ACRU-05,ACRU,132,149,111,116
2015,ACRU-05,ACRU,128,149,110,111
2016,ACRU-05,ACRU,126,149,90,91
2017,ACRU-05,ACRU,120,150,104,104
2018,ACRU-05,ACRU,126,144,112,114
2019,ACRU-05,ACRU,127,148,104,108
2020,ACRU-05,ACRU,126,152,94,100
2021,ACRU-05,ACRU,125,146,94,100
1990,ACSA-01,ACSA,118,143,104,NA
1991,ACSA-01,ACSA,114,133,NA,NA
1992,ACSA-01,ACSA,124,157,NA,NA
1993,ACSA-01,ACSA,116,135,134,134
1994,ACSA-01,ACSA,121,138,NA,NA
1995,ACSA-01,ACSA,126,140,NA,NA
1996,ACSA-01,ACSA,119,141,NA,NA
1997,ACSA-01,ACSA,126,145,NA,NA
1998,ACSA-01,ACSA,109,131,NA,NA
1999,ACSA-01,ACSA,120,133,NA,NA
2000,ACSA-01,ACSA,124,140,NA,NA
2001,ACSA-01,ACSA,120,133,NA,NA
2002,ACSA-01,ACSA,108,142,NA,NA
2003,ACSA-01,ACSA,123,149,NA,NA
2004,ACSA-01,ACSA,120,139,NA,NA
2005,ACSA-01,ACSA,117,152,NA,NA
2006,ACSA-01,ACSA,117,149,NA,NA
2007,ACSA-01,ACSA,123,143,NA,NA
2008,ACSA-01,ACSA,116,141,NA,NA
2009,ACSA-01,ACSA,116,139,NA,NA
2010,ACSA-01,ACSA,105,129,NA,NA
2011,ACSA-01,ACSA,121,138,NA,NA
2012,ACSA-01,ACSA,106,139,NA,NA
2013,ACSA-01,ACSA,121,138,NA,NA
2014,ACSA-01,ACSA,130,147,NA,NA
2015,ACSA-01,ACSA,124,139,NA,NA
2016,ACSA-01,ACSA,126,144,NA,NA
2017,ACSA-01,ACSA,118,140,NA,NA
2018,ACSA-01,ACSA,126,144,NA,NA
2019,ACSA-01,ACSA,121,146,NA,NA
2020,ACSA-01,ACSA,126,152,NA,NA
2021,ACSA-01,ACSA,119,144,NA,NA
1990,ACSA-02,ACSA,120,141,NA,NA
1991,ACSA-02,ACSA,114,130,NA,NA
1992,ACSA-02,ACSA,131,154,NA,NA
1993,ACSA-02,ACSA,117,131,NA,NA
1994,ACSA-02,ACSA,121,139,NA,NA
1995,ACSA-02,ACSA,126,140,NA,NA
1996,ACSA-02,ACSA,125,141,NA,NA
1997,ACSA-02,ACSA,125,145,NA,NA
1998,ACSA-02,ACSA,111,130,NA,NA
1999,ACSA-02,ACSA,120,132,NA,NA
2000,ACSA-02,ACSA,124,136,NA,NA
2001,ACSA-02,ACSA,120,135,NA,NA
2002,ACSA-02,ACSA,108,140,NA,NA
2003,ACSA-02,ACSA,127,145,NA,NA
2004,ACSA-02,ACSA,120,137,NA,NA
2005,ACSA-02,ACSA,118,150,NA,NA
2006,ACSA-02,ACSA,121,145,NA,NA
2007,ACSA-02,ACSA,126,139,NA,NA
2008,ACSA-02,ACSA,118,140,NA,NA
2009,ACSA-02,ACSA,119,134,NA,NA
2010,ACSA-02,ACSA,107,126,NA,NA
2011,ACSA-02,ACSA,124,137,NA,NA
2012,ACSA-02,ACSA,108,136,NA,NA
2013,ACSA-02,ACSA,121,137,NA,NA
2014,ACSA-02,ACSA,130,145,NA,NA
2015,ACSA-02,ACSA,126,134,NA,NA
2016,ACSA-02,ACSA,129,144,NA,NA
2017,ACSA-02,ACSA,118,139,NA,NA
2018,ACSA-02,ACSA,126,143,NA,NA
2019,ACSA-02,ACSA,123,140,NA,NA
2020,ACSA-02,ACSA,131,145,NA,NA
2021,ACSA-02,ACSA,120,138,NA,NA
1990,ACSA-03,ACSA,130,145,120,125
1991,ACSA-03,ACSA,114,139,114,114
1992,ACSA-03,ACSA,134,166,130,136
1993,ACSA-03,ACSA,122,131,NA,NA
1994,ACSA-03,ACSA,126,143,121,122
1995,ACSA-03,ACSA,131,141,126,126
1996,ACSA-03,ACSA,119,141,119,125
1997,ACSA-03,ACSA,135,151,NA,NA
1998,ACSA-03,ACSA,120,133,106,109
1999,ACSA-03,ACSA,124,133,120,122
2000,ACSA-03,ACSA,127,145,119,120
2001,ACSA-03,ACSA,121,130,NA,NA
2002,ACSA-03,ACSA,124,140,108,108
2003,ACSA-03,ACSA,127,145,120,123
2004,ACSA-03,ACSA,126,139,120,122
2005,ACSA-03,ACSA,132,152,124,NA
2006,ACSA-03,ACSA,123,146,114,115
2007,ACSA-03,ACSA,129,143,122,123
2008,ACSA-04,ACSA,117,135,116,116
2009,ACSA-04,ACSA,119,135,115,NA
2010,ACSA-04,ACSA,111,127,NA,NA
2011,ACSA-04,ACSA,125,137,118,120
2012,ACSA-04,ACSA,116,136,106,NA
2013,ACSA-04,ACSA,121,135,116,119
2014,ACSA-04,ACSA,130,144,NA,NA
2015,ACSA-04,ACSA,126,134,122,127
2016,ACSA-04,ACSA,132,144,114,121
2017,ACSA-04,ACSA,118,140,110,117
2018,ACSA-04,ACSA,126,140,NA,NA
2019,ACSA-04,ACSA,127,140,116,117
2020,ACSA-04,ACSA,136,146,123,126
2021,ACSA-04,ACSA,120,139,108,110
1990,AMSP-01,AMSP,121,143,116,123
1991,AMSP-01,AMSP,119,132,114,115
1992,AMSP-01,AMSP,124,156,130,134
1993,AMSP-01,AMSP,116,156,112,116
1994,AMSP-01,AMSP,121,142,108,110
1995,AMSP-01,AMSP,126,145,126,130
1996,AMSP-01,AMSP,119,147,114,NA
1997,AMSP-01,AMSP,123,149,138,135
1998,AMSP-01,AMSP,109,135,136,137
1999,AMSP-01,AMSP,120,143,114,119
2000,AMSP-01,AMSP,124,144,134,134
2001,AMSP-01,AMSP,121,137,120,123
2002,AMSP-01,AMSP,109,NA,NA,NA
2003,AMSP-01,AMSP,127,NA,123,126
2004,AMSP-01,AMSP,120,NA,NA,NA
2005,AMSP-01,AMSP,119,NA,NA,NA
2006,AMSP-01,AMSP,121,NA,NA,NA
2007,AMSP-01,AMSP,125,NA,NA,NA
2008,AMSP-01,AMSP,117,NA,NA,NA
2009,AMSP-01,AMSP,119,NA,NA,NA
2010,AMSP-01,AMSP,101,NA,NA,NA
2011,AMSP-01,AMSP,121,NA,NA,NA
2012,AMSP-01,AMSP,112,NA,NA,NA
2013,AMSP-01,AMSP,121,NA,NA,NA
2014,AMSP-01,AMSP,129,NA,NA,NA
2015,AMSP-01,AMSP,126,NA,NA,NA
2016,AMSP-01,AMSP,122,NA,NA,NA
2017,AMSP-01,AMSP,118,NA,NA,NA
2018,AMSP-01,AMSP,126,NA,NA,NA
2019,AMSP-01,AMSP,122,NA,NA,NA
2020,AMSP-01,AMSP,124,NA,NA,NA
2021,AMSP-01,AMSP,119,NA,NA,NA
1990,AMSP-02,AMSP,121,143,136,136
1991,AMSP-02,AMSP,113,130,104,112
1992,AMSP-02,AMSP,122,162,NA,NA
1993,AMSP-02,AMSP,116,146,102,123
1994,AMSP-02,AMSP,109,138,115,122
1995,AMSP-02,AMSP,126,141,126,130
1996,AMSP-02,AMSP,115,141,NA,NA
1997,AMSP-02,AMSP,122,146,130,132
1998,AMSP-02,AMSP,106,131,111,113
1999,AMSP-02,AMSP,120,139,114,124
2000,AMSP-02,AMSP,123,141,124,125
2001,AMSP-02,AMSP,120,135,124,124
2002,AMSP-02,AMSP,110,NA,NA,NA
2003,AMSP-02,AMSP,123,NA,123,124
2004,AMSP-02,AMSP,118,NA,NA,NA
2005,AMSP-02,AMSP,114,NA,NA,NA
2006,AMSP-02,AMSP,121,NA,NA,NA
2007,AMSP-02,AMSP,122,NA,NA,NA
2008,AMSP-02,AMSP,112,NA,NA,NA
2009,AMSP-02,AMSP,117,NA,NA,NA
2010,AMSP-02,AMSP,99,NA,NA,NA
2011,AMSP-02,AMSP,120,NA,NA,NA
2012,AMSP-02,AMSP,113,NA,NA,NA
2013,AMSP-02,AMSP,121,NA,NA,NA
2014,AMSP-02,AMSP,128,NA,NA,NA
2015,AMSP-02,AMSP,123,NA,NA,NA
2016,AMSP-02,AMSP,128,NA,NA,NA
2017,AMSP-02,AMSP,118,NA,NA,NA
2018,AMSP-02,AMSP,126,NA,NA,NA
2019,AMSP-02,AMSP,122,NA,NA,NA
2020,AMSP-02,AMSP,129,NA,NA,NA
2021,AMSP-02,AMSP,115,NA,NA,NA
1990,AMSP-03,AMSP,129,148,NA,NA
1991,AMSP-03,AMSP,125,147,NA,NA
1992,AMSP-03,AMSP,138,162,NA,NA
1993,AMSP-03,AMSP,119,142,NA,NA
1994,AMSP-03,AMSP,123,142,NA,NA
1995,AMSP-03,AMSP,126,143,NA,NA
1996,AMSP-03,AMSP,120,147,NA,NA
1997,AMSP-03,AMSP,131,151,NA,NA
1998,AMSP-03,AMSP,117,131,NA,NA
1999,AMSP-03,AMSP,124,138,NA,NA
2000,AMSP-03,AMSP,128,141,NA,NA
2001,AMSP-03,AMSP,124,135,124,127
2002,AMSP-03,AMSP,118,NA,NA,NA
2003,AMSP-03,AMSP,131,NA,NA,NA
2004,AMSP-03,AMSP,123,NA,NA,NA
2005,AMSP-03,AMSP,124,NA,NA,NA
2006,AMSP-03,AMSP,127,NA,NA,NA
2007,AMSP-03,AMSP,128,NA,NA,NA
2008,AMSP-03,AMSP,125,NA,NA,NA
2009,AMSP-03,AMSP,120,NA,NA,NA
2010,AMSP-03,AMSP,110,NA,NA,NA
2011,AMSP-03,AMSP,126,NA,NA,NA
2012,AMSP-03,AMSP,119,NA,NA,NA
2013,AMSP-03,AMSP,124,NA,NA,NA
2014,AMSP-03,AMSP,133,NA,NA,NA
2015,AMSP-03,AMSP,129,NA,NA,NA
2016,AMSP-03,AMSP,133,NA,NA,NA
2017,AMSP-03,AMSP,123,NA,NA,NA
2018,AMSP-03,AMSP,130,NA,NA,NA
2019,AMSP-03,AMSP,129,NA,NA,NA
2020,AMSP-03,AMSP,136,NA,NA,NA
2021,AMSP-03,AMSP,125,NA,NA,NA
1990,AMSP-04,AMSP,116,146,110,119
1991,AMSP-04,AMSP,119,147,100,119
1990,ARSP-01,ARSP,119,153,NA,NA
1991,ARSP-01,ARSP,109,134,NA,NA
1992,ARSP-01,ARSP,134,157,NA,NA
1993,ARSP-01,ARSP,116,135,NA,NA
1994,ARSP-01,ARSP,118,146,134,135
1995,ARSP-01,ARSP,122,144,NA,NA
1996,ARSP-01,ARSP,115,147,NA,NA
1997,ARSP-01,ARSP,130,153,NA,NA
1998,ARSP-01,ARSP,109,137,NA,NA
1999,ARSP-01,ARSP,124,137,NA,NA
2000,ARSP-01,ARSP,121,145,NA,NA
2001,ARSP-01,ARSP,124,141,NA,NA
1991,ARSP-02,ARSP,111,138,109,146
1992,ARSP-02,ARSP,120,162,148,149
1993,ARSP-02,ARSP,114,113,112,142
1994,ARSP-02,ARSP,127,146,121,147
1995,ARSP-02,ARSP,121,146,149,149
1996,ARSP-02,ARSP,115,148,111,149
1997,ARSP-02,ARSP,125,153,157,158
1998,ARSP-02,ARSP,107,136,136,137
1999,ARSP-02,ARSP,120,144,NA,NA
2000,ARSP-02,ARSP,119,146,NA,NA
2001,ARSP-02,ARSP,123,141,NA,NA
1991,ARSP-03,ARSP,110,150,100,NA
1992,ARSP-03,ARSP,113,162,144,147
1993,ARSP-03,ARSP,117,146,142,142
2000,ARSP-04,ARSP,124,145,NA,NA
2001,ARSP-04,ARSP,122,137,NA,NA
1990,BEAL-01,BEAL,116,145,NA,NA
1991,BEAL-01,BEAL,111,132,124,132
1992,BEAL-01,BEAL,132,150,144,145
1993,BEAL-01,BEAL,109,138,134,134
1994,BEAL-01,BEAL,117,140,NA,NA
1995,BEAL-01,BEAL,126,140,NA,NA
1996,BEAL-01,BEAL,115,141,NA,NA
1997,BEAL-01,BEAL,130,146,NA,NA
1998,BEAL-01,BEAL,114,131,NA,NA
1999,BEAL-01,BEAL,124,137,NA,NA
2000,BEAL-01,BEAL,128,141,130,131
2001,BEAL-01,BEAL,122,133,NA,NA
2002,BEAL-01,BEAL,112,143,112,112
2003,BEAL-01,BEAL,129,150,123,128
2004,BEAL-01,BEAL,124,138,NA,NA
2005,BEAL-01,BEAL,132,151,114,116
2006,BEAL-01,BEAL,126,150,121,124
2007,BEAL-01,BEAL,127,143,NA,NA
2008,BEAL-01,BEAL,127,146,116,117
2009,BEAL-01,BEAL,119,139,119,120
2010,BEAL-01,BEAL,111,129,106,NA
2011,BEAL-01,BEAL,128,143,118,119
2012,BEAL-01,BEAL,114,140,NA,NA
2013,BEAL-01,BEAL,126,140,120,122
2014,BEAL-01,BEAL,133,148,130,130
2015,BEAL-01,BEAL,128,140,NA,NA
2016,BEAL-01,BEAL,132,149,122,124
2017,BEAL-01,BEAL,122,141,118,118
2018,BEAL-01,BEAL,128,144,NA,NA
2019,BEAL-01,BEAL,128,146,122,123
2020,BEAL-01,BEAL,137,153,NA,NA
2021,BEAL-01,BEAL,126,147,120,120
1990,BEAL-02,BEAL,131,153,NA,NA
1991,BEAL-02,BEAL,130,137,132,132
1992,BEAL-02,BEAL,140,157,NA,NA
1993,BEAL-02,BEAL,118,151,NA,NA
1994,BEAL-02,BEAL,130,146,NA,NA
1995,BEAL-02,BEAL,131,146,NA,NA
1996,BEAL-02,BEAL,126,147,NA,NA
1997,BEAL-02,BEAL,141,152,NA,NA
1998,BEAL-02,BEAL,124,137,122,122
1999,BEAL-02,BEAL,130,139,NA,NA
2000,BEAL-02,BEAL,130,147,128,128
2001,BEAL-02,BEAL,124,140,NA,NA
2002,BEAL-02,BEAL,136,148,NA,NA
2003,BEAL-02,BEAL,138,152,132,NA
2004,BEAL-02,BEAL,130,139,NA,NA
2005,BEAL-02,BEAL,137,156,NA,NA
2006,BEAL-02,BEAL,134,150,126,127
2007,BEAL-02,BEAL,130,147,NA,NA
2008,BEAL-02,BEAL,137,153,NA,NA
2009,BEAL-02,BEAL,127,145,NA,NA
2010,BEAL-02,BEAL,122,136,NA,NA
2011,BEAL-02,BEAL,134,150,120,122
2012,BEAL-02,BEAL,127,144,NA,NA
2013,BEAL-02,BEAL,130,146,NA,NA
2014,BEAL-02,BEAL,137,153,NA,NA
2015,BEAL-02,BEAL,129,145,NA,NA
2016,BEAL-02,BEAL,133,150,NA,NA
2017,BEAL-02,BEAL,132,148,NA,NA
2018,BEAL-02,BEAL,133,148,NA,NA
2019,BEAL-02,BEAL,138,153,NA,NA
2020,BEAL-02,BEAL,141,154,NA,NA
2021,BEAL-02,BEAL,133,147,NA,NA
1990,BEAL-03,BEAL,127,149,NA,NA
1991,BEAL-03,BEAL,118,136,135,135
1992,BEAL-03,BEAL,136,162,144,145
1993,BEAL-03,BEAL,123,146,NA,NA
1994,BEAL-03,BEAL,130,146,NA,NA
1995,BEAL-03,BEAL,134,145,139,139
1996,BEAL-03,BEAL,115,143,111,NA
1997,BEAL-03,BEAL,133,151,134,NA
