datasetID,study,Entered By,genus,species,varetc,population,population detail,provenance lat,provenance long,population altitude m,continent,year,material,fieldchill,fieldsample date,chilltemp,chillphotoperiod,chilldays,forcetemp,forcetemp_night,photoperiod_day,photoperiod_night,respvar,response,response time,n,error type,resp_error,figure/table (if applicable),growing lat,growing long,field chill units,cu model,other treatment,irradiance,irradiance units,humidity,number.longdays,dormancy_induction_temp,dormancy_induction_days,dormancy_induction_photoperiod_day,dormancy_induction_photoperiod_night,freeze treatment time,freeze treatment photoperiod_day,freeze treatment photoperiod_night,freeze treatment temp_day,freeze treatment temp_night,response (pre-treatment),response (post-treatment
basler12,exp1,TS,Syringa,vulgaris,,high elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,30.47,,SD,3.868,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Syringa,vulgaris,,high elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,30.66,,SD,3.302,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Syringa,vulgaris,,low elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Syringa,vulgaris,,low elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Syringa,vulgaris,,high elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Syringa,vulgaris,,high elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Corylus,avellana,,low elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,35.29,,SD,4.202,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Corylus,avellana,,low elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,33.61,,SD,5.042,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Corylus,avellana,,high elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,36.56,,SD,4.117,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Corylus,avellana,,high elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,37.65,,SD,4.538,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Corylus,avellana,,low elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,37.56,,SD,4.874,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Corylus,avellana,,low elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,35.97,,SD,4.37,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Corylus,avellana,,high elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,38.82,,SD,4.369,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Corylus,avellana,,high elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,38.4,,SD,2.605,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fraxinus,excelsior,,low elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,46.72,,SD,4.37,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fraxinus,excelsior,,low elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,44.71,,SD,4.202,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fraxinus,excelsior,,high elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,46.22,,SD,6.219,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fraxinus,excelsior,,high elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,43.78,,SD,5.042,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fraxinus,excelsior,,low elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,46.81,,SD,3.445,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fraxinus,excelsior,,low elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,46.98,,SD,4.034,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fraxinus,excelsior,,high elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,48.91,,SD,5.715,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fraxinus,excelsior,,high elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,46.3,,SD,4.621,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fagus,sylvatica,,low elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,49.15,,SD,3.868,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fagus,sylvatica,,low elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,44.25,,SD,3.396,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fagus,sylvatica,,high elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,52.17,,SD,4.057,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fagus,sylvatica,,high elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,43.21,,SD,2.359,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fagus,sylvatica,,low elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,50.76,,SD,4.812,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fagus,sylvatica,,low elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,45.09,,SD,3.207,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fagus,sylvatica,,high elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,53.59,,SD,3.397,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Fagus,sylvatica,,high elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,46.51,,SD,2.925,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Picea,abies,,low elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,54.06,,SD,3.396,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Picea,abies,,low elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,51.04,,SD,2.925,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Picea,abies,,high elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,56.6,,SD,5.283,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Picea,abies,,high elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,52.17,,SD,3.207,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Picea,abies,,low elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,58.96,,SD,2.925,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Picea,abies,,low elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,52.26,,SD,4.906,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Picea,abies,,high elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,61.32,,SD,3.302,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Picea,abies,,high elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,52.55,,SD,2.925,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Larix,decudia,,low elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,22.45,,SD,2.453,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Larix,decudia,,low elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,22.08,,SD,4.434,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Larix,decudia,,high elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,22.17,,SD,2.924,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Larix,decudia,,high elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,21.6,,SD,3.113,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Larix,decudia,,low elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,25.85,,SD,3.396,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Larix,decudia,,low elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,27.74,,SD,3.49,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Larix,decudia,,high elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,28.77,,SD,3.491,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Larix,decudia,,high elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,28.49,,SD,3.302,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Prunus,avium,,low elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,21.32,,SD,3.397,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Prunus,avium,,low elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,20.76,,SD,3.302,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Prunus,avium,,high elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Prunus,avium,,high elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Prunus,avium,,low elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,22.55,,SD,3.396,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Prunus,avium,,low elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,22.45,,SD,3.019,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Prunus,avium,,high elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Prunus,avium,,high elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Quercus,patraea,,low elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,52.93,,SD,3.68,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Quercus,patraea,,low elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,50.66,,SD,4.717,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Quercus,patraea,,high elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,62.08,,SD,2.736,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Quercus,patraea,,high elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,54.72,,SD,4.339,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Quercus,patraea,,low elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,54.81,,SD,6.038,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Quercus,patraea,,low elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,52.93,,SD,5.283,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Quercus,patraea,,high elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,62.36,,SD,3.679,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Quercus,patraea,,high elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,53.21,,SD,3.397,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Tilia,cordata,,low elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,60.38,,SD,3.868,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Tilia,cordata,,low elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,54.43,,SD,4.717,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Tilia,cordata,,high elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Tilia,cordata,,high elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Tilia,cordata,,low elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,61.51,,SD,3.019,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Tilia,cordata,,low elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,56.89,,SD,4.056,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Tilia,cordata,,high elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Tilia,cordata,,high elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Sorbus,aucuparia,,low elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,21.98,,SD,4.434,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Sorbus,aucuparia,,low elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,22.26,,SD,3.113,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Sorbus,aucuparia,,high elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,25.19,,SD,3.018,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Sorbus,aucuparia,,high elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,25.57,,SD,1.603,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Sorbus,aucuparia,,low elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,24.81,,SD,3.585,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Sorbus,aucuparia,,low elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,25,,SD,2.735,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Sorbus,aucuparia,,high elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,31.32,,SD,3.302,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Sorbus,aucuparia,,high elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,30.94,,SD,2.83,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Abies,alba,,low elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,56.42,,SD,4.717,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Abies,alba,,low elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,52.17,,SD,2.736,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Abies,alba,,high elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,59.62,,SD,3.301,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Abies,alba,,high elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,49.25,,SD,6.32,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Abies,alba,,low elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,61.51,,SD,4.811,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Abies,alba,,low elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,55.09,,SD,2.924,fig3,,,,,,548,umol m_2 s_1
