datasetID,Filename,Author,Year,Title,Journal,Volume,Pages,AssignedTo,EnteredBy,ToDo,Notes,URL,Var,Status,BBCH,Woody,Spp,Measurement Notes
cannell83,Cannell_1983_AppliedEco.pdf,"Cannell, M.G.R. and Smith, R.I.",1983,"Thermal time, chill days and prediction of budburst in Picea sitchensis",J App Eco,20,951-963,EF,,,"The treatments (photoperiod, provenance and time planted outside) were all reported together and therefore can't scrape the data - discussed with Dan and he agreed that it was not usable. ",,"days to budburst, degree days,  growth rate, mean bud length",k,m,y,Picea sitchensis,
carvalho10,Carvalho_2010_RevistaBrasFrut.pdf,"Carvalho, R.I.N. et al.",2010,Endodormancy of peach and plum tree buds in a region of low chill occurrence,Rev Bras Frutic,32(3),769-777,,,,Paper written in Portuguese,,––,n,m,m,––,
carvalho14,Carvalho_2014_ActaSciAgronomy.pdf,"Carvalho, R.I.N. et al.",2014,Dormancy of 'Imperial Gala' apple and 'Hosui' pear tree buds in a region of low chill occurrence,Acta Sci Agro,36(4),429-434,,,,Paper written in Portuguese,,––,n,m,m,––,
charrier11,Charrier_2011_IntJrnBiomet.pdf,"Charrier, G. et al.",2011,"Are budburst dates, dormancy and cold acclimation in walnut trees (Juglans regia L.) under mainly genotypic or environmental control?",Int J Biomet,55(6),763-774,,TS,,Variable is in hours but could be calaculated into days.,,daystobudburst,e,y,y,Juglans regia,
chuine00,Chuine_2000_JTheorBio.pdf,"Chuine, I.",2000,A unified model for budburst of trees,J Theor Biol,207,337-347,,,,"No observational experiment, just model testing",,––,n,––,––,––,
chuine99,Chuine_1999_NewPhyt.pdf,"Chuine, I. and Cour, P.",1999,Climatic determinants of budburst seasonalityin fourtemperate-zonetree species,New Phytol,143,339-349,,,,"Outdoor experiment, may not be good.",,daystobudburst,m,m,y,"Platanus Acerifolia, Vitis vinifera, Quercus","Phenologicalstagewas recordedonce a week fromthe beginningof the experimentto the firststageand thenthreetimesa week at each site accordingtothefollowingscale: 1,slightlyswollen; 2, swollen; 3, leaves visible in the bud; 4, leaves completely unfolded. A stage was considered reached on the Julian date when 50% of the buds of each seedling fulfille the criterion."
clark12,Clark_2012b_GlblChngBio.pdf,"Clark, J.S. et al.",2012,The seasonal timing of warming that controls onset of the growing season,Global Change Biology,20,1136-1145,,,,Looks like open top chambers at HF and Duke. Growth guide on pg 1141,,sensitibitytowarming,m,y,y,15 tree species,
clark14,Clark_2014_FnctEcol.pdf,Clark et al.,2014,"Tree phenology responses to winter chilling, spring warming, at north and south range limits",Functional Ecology,28,1344-1355,,,Fig 1,Looks like open top chambers at HF and Duke. Growth guide on pg 1348,,various,m,y,y,15 tree species,
collin99,Collin_1999_AnnalsofBotany.pdf,"Collin, P. et al.",1999,Growth responses of common ash seedlings (Fraxinus excelsior L.) to total and partial defoliation,Annals of Botany,85,317-323,,,,Defoliation treatment might not be good for this analysis,,stemelongation,n,n,y,Fraxinus excelsior ,
colombo98,Colombo_1998_ForestryJ.pdf,"Colombo, S.J. et al.",1998,Climatic warming and its effect on bud burst and risk of frost damage to white spruce in Canada,Forestry Chronicle,74(4),567-577,-,-,,"Predictions from long-term data only, no controlled experiment",,daystobudburst,n,n,y,Picea glauca,
cook00a,Cook_2000_ScientiaHort.pdf,"Cook, N.C. and Bellstedt, D.U.",2000,Chilling response of 'Granny Smith' apple lateral buds inhibited by distal shoot tissues,Sci Hort,89,299-308,,,,Bud inhibition treatment,,daysto50%budburst,m,m,y,Malus domestica,
cook00b,Cook_2000_JrnlHortSciBiotech.pdf,"Cook, N.C. et al.",2000,Progression of apple (Malus x domestica Borkh.) bud dormancy in two mild winter climates,J Hort Sci Biotech,75(2),233-236,JS,JS,,20% budburst might not be great for analysis,,daysto20%budburst,k,m,y,Malus domestica,
cook05,Cook_2005_ScientiaHort.pdf,"Cook, N.C. et al.",2005,Freezing temperature treatment induces bud dormancy in ‘Granny Smith’ apple shoots,Sci Hort,106,170-176,,TS,,Freezing treatment,,daysto50%budburst,m,m,y,Malus domestica,
cronje03,Cronje__2003_AdvHortSciences.pdf,"Cronjé, P.J.R. et al.",2003,Quantification of the dormancy progression in terminal apple buds. Changes in growth rate and water status,Adv Hort Sci,17(2),105-110,DF,DF,,Diagram difficult to read,,daysto25%budburst,m,m,y,Malus sylvest,
dantec14,Dantec_2014_IntJBiom.pdf,Dantec et al.,2014,Chilling and heat requirements for leaf unfolding in European beech and sessile oak populations in the southern limit of their distribution,Int J Biomet,,,DF,DF,"Fig 1, Fig 2",Specifically used BBCH guide. But experiment is outdoors/uncontrolled,,"daystoleafunfolding, growingdegreedays",k,y,y,"Fagus sylvatica, Quercus petraea",
danusevicius01,Danusevicius_2001_ScandJForRes.pdf,"Danusevicius, D. and Gabrilavicius, R.",2001,Variation in juvenile growth rhythm among Picea abies provenances from the Baltic states and the adjacent region,Scand J For Res,16,305-317,,,,Growth stage rubric detailed on page 307. No outstanding figures or tables,,frostdessicationdamage,m,y,y,Picea abies,
decarvalho10,deCarvalho_2010_MolecEco.pdf,"de Carvalho, D. et al.",2010,"Admixture facilitates adaptation from standing variation in the European aspen (Populus tremula L.), a widespread forest tree",Molecular Ecology,19,1638-1650,,,,"Looking at traits, not a good match",,traitexpression,n,n,y,Populus tremula,
devries82,DeVries_1982_SciHort.pdf,De Vries,1982,"Interaction of temperature and light on growth and development of hybrid tea-rose seedlings, with reference to breeding for low-energy requirements",Scientia Horticultura,17,377–382,,TS,"Fig 1, Fig 2, Fig 3",Days to a flower bud. Interesting experiment on irradiance,,"daystoflowerbudappearance, percentflowering, daystoanthesis",e,y,y,Tea rose,"Each seedling was observed until flower bud abortion or anthesis occurred.
"
donoho57,Donoho_1957_Science.pdf,"Donoho, C.W. and Walker, D.R.",1957,Effect of gibberellic acid on breaking of rest period in Elberta peach,Science,126,1178-1179,,,,Agricultural experiment studying effect of particular acid. Not a good match.,,percentleavesgrowing,n,n,n,Phytophthora infestan,
dunn00,Dunn_2000_AustJrnlGrapeWine.pdf,"Dunn, G.M. and Martin, S.R.",2000,Do temperature conditions at budburst affect flower number in Vitis vinifera L. cv. Cabernet Sauvignon?,Aus J Grape Wine Res,6,116-124,,,,Outdoor experiment with variable temperature. Tested pruning times and acid application.,,"numberofbuds, flowersperinflorescence",m,n,y,Vitis vinifera,
dunstone80,,Dunstone RL,1980,Jojoba flower buds: temperature and photoperiod effects in breaking dormancy,Aust J Agric Res,31,727-737,,,,,,,,,,,
dunsworth88,Dunsworth_1988_Conf.pdf,"Dunsworth, B.G.",1988,Impact of lift date and storage on field performance for Doublas-Fir and Western Hemlock,,,,,,,"Lots of treatments going on here, not a good match.",,various,n,m,y,"Douglas Fir, Western Hemlock",
ellis97,Ellis_1997_AnnBot.pdf,"Ellis, R.H.",1997,"Effects of photoperiod, temperature and asynchrony between thermoperiod and photoperiod on development to panicle initiation in sorghum",Annals of Botany,79,169-178,,TS,,"Already entered, but actually will exclude (non woody)",,,n,n,n,Sorghum,
falusi03,Falusi_2003_PlantBiosys.pdf,"Falusi, M. and Calamassi, R.",2003,Dormancy of Fagus sylvatica L. buds III. Temperature and hormones in the evolution of dormancy in one-node cuttings,Plant Biosys,137(2),185-192,,TS,,,,percentbudsburst,e,y,y,Fagus sylvatica,
falusi90,Falusi_1990_TreePhys.pdf,"Falusi M, Calamassi R",1990,Bud dormancy in beech (Fagus sylvatica L.). Effect of chilling and photoperiod on dormancy release of beech seedlings,Tree Physiology,6,429-438,,TS,"Table 1, Table 2, Fig 1, Fig 2 at least",,,"percentbudsburst, apicalbudgrowth, shootlength, ",e,y,y,Fagus sylvatica,
falusi96,Falusi_1996_AnnSciFor.pdf,"Falusi M, Calamassi R",1996,Geographic variation and bud dormancy in beech seedlings (Fagus sylvatica L),Ann Sci For,53,967-979,,TS,"Fig 1, Fig 2, Fig 3, Fig 4","Used Scale of Malaisse, detailed on pg 969",,percentbudsburst,e,y,y,Fagus sylvatica,"Sprouting was scored on the scale of Malaisse (1964). Only the first three stages were utilized in this study (stage 1: fusi- form elongated buds, 2: buds are swollen and somewhat lengthened, 3: bud scales have sep- arated and the green tips of the first leaves are emerging) while the other four stages were not used because they were not pertinent to this work. Shoot development w a s defined by the two parameters of length of the new shoot from the bud and the number of leaves produced."
falusi97,Falusi_1997_PlantBiosys.pdf,"Falusi, M. and Calamassi, R.",1997,Bud dormancy in Fagus sylvatica L. II. The evolution of dormancy in seedlings and one-node cuttings,Plant Biosys,131(2),143-148,EF,EF,Fig 2 or Tables,,,percentbudsburst,k,y,y,Fagus sylvatica,
faquim07,Faquim_2007_RevBrasdeFrut.pdf,"Faquim, R. et al.",2007,CHILL REQUIREMENT FOR BUD BREAK OF JAPANESE PERSIMMON CV. FUYU,Rev Bras Frutic,29(3),438-444,,,,Paper written in Portuguese,,––,n,m,m,––,
fila2012,Fila_2012_AgriForestMtrlgy.pdf,"Fila, G. et al.",2012,Calibration and validation of grapevine budburst models using growth-room experiments as data source,Agricultural and Forest Meteorology,160,69-79,DF,,,"Good growth chamber study, but no scrapable data",,daystobudburst,n,m,y,Vitis vinifera,
finetto01,Finetto_2001_ActaHort.pdf,"Finetto, G.A.",2001,The effect of low temperatures on the dormancy of three apple cultivars in the Po Valley,Acta Horticulturae,565,141-149,EF,,Table 1,,,daysto50%budburst,k,m,y,Malus,
floistad10,Floistad_2010_CanJForRes.pdf,"Fløistad, I.S. and Granhus, A.",2010,Bud break and spring frost hardiness in Picea abies seedlings in response to photoperiod and temperature treatments,Can J For Res,40,968-976,JS,,Table 3,"Good short day, long day style experiment here",,"daysto50%budburst, daystobudformation, various",k,y,y,Picea abies,
foley09,Foley_2009_Botany.pdf,"Foley, M.E. et al.",2009,"The effects of temperature, photoperiod, and vernalization on regrowth and flowering competence in Euphorbia esula (Euphorbiaceae) crown buds",Botany,87,986-992,,,,"Study of a weed's flowering and shoot height, maybe not good match",,"percentflowering, shoot height",m,m,weed,Eurphorbia esula,
fracheboud09,Fracheboud_2009_PlantPhys.pdf,"Fracheboud, Y. et al.",2009,The control of autumn senescence in European aspen,Plant Phys,149,1982-1991,,,,"Study of fall senescence and budset times, not spring leafout",,"daystosenescence, daystobudset",n,m,y,Populus tremula,
fu12,Fu_2012_PLoSOne,"Fu, YH et al.",2012,The Impact of Winter and Spring Temperatures on Temperate Tree Budburst Dates: Results from an Experimental Climate Manipulation,PLoS One,7,e47324,JS,,Figure 4 (obs budburst only),Growth stage rubric detailed on page 3,,daystobudburst,k,y,y,"Fagus sylvatica, Betula pendula, Quercus robur",
fu13,Fu_2013_AgricForestMetr.pdf,"Fu, YH et al.",2013,Sensitivity of leaf unfolding to experimental warming in three temperate tree species,Agricultural and Forest Meteorology,181,125-132,EF,EF,Figure 2,Growth stage rubric detailed on page 126,,daystoleafunfolding,k,y,y,"Fagus sylvatica, Betula pendula, Quercus robur",
gansert02,Gansert_2002_ArcticAlpRes.pdf,"Gansert, D.",2002,"Betula ermanii, a dominant subalpine and subarctic treeline tree species in Japan: ecological traits of deciduous tree life in winter","Arctic, Antarctic, and Alpine Research",34,57-64,DF,DF,Figure 4,"Mostly measuring frost hardiness, except for Figure 4",,daystobudburst,k,y,y,Betula ermanii,"The course of bud phenology of B. ermanii was investi- gated from late March 1997 to late June 1998. Nine phenological stages were differentiated(Murrayet al., 1989; Heide, 1993): buds closed [0], slightly swollen [1], swollen [2], green foliage showing [3], early elongation [4], advancedelongation [5], early frondescence [6], advanced frondescence [7] and frondescence terminated[8]. At each sampling date, 30 vegetative buds were collected randomlyfrom shoots of the uppercrown of each of the sample trees and classified according to their phenological stages. All buds per sampling date and study site were treated as a composite sample. "
ghelardini06,Ghelardini_2006_CanadianJrnl.pdf,"Ghelardini, L., Falusi M., Santini A.",2006,Variation in timing of bud-burst of Ulmus minor clones from different geographical origins,Can J For Res,36,1982-1991,DF,DF,Fig 5 c and d,Good study but tests different locations,,daystobudburst,k,y,y,Ulmus minor,"Phenological notations were taken for each tree according to a common protocol from Feb to May at least once a week using a three-step scale (1, dormant buds; 2, buds swollen, but scales closed; 3, bud scales open, and the extremeties of the first leaf visible at the apex of the buds). For each individual tree, the budburst date (BBD) was defined as the day since Jan 1 (Julian day), when one-half of the lateral buds had reached stage 3..."
ghelardini07,Ghelardini_2007_Thesis.pdf,"Ghelardini, L.",2007,"Bud Burst Phenology, Dormancy Release and Susceptibility to Dutch Elm Disease in Elms (Ulmus spp.)","Swedish University of Agricultural Sciences, Uppsala",,,,,,,,"degreedays, thermaltimetodbudburst",n,m,y,Ulmus spp.,
ghelardini10,Ghelardini_2010_TreePhysiol.pdf,"Ghelardini, L.",2010,Bud dormancy release in elm (Ulmus spp.) clones––a case study of photoperiod and temperature responses,Tree Physiology,30,264-274,,TS,,,,percentbudburst,e,m,y,Ulmus spp.,"Assessment of bud burst and statistical analyses
In both experiments, all the buds were scored for bud burst every other day until the end of the growth chamber treatments, which were terminated after accumulation of 1050 day degrees (dd) >0 °C, i.e., after 50, 40 and 75 days at 21 (Ex- periment 1), 26 and 14 °C (Experiment 2), respectively. Bud burst was defined as Stage 3 according to Murray et al. (1989) phenological scale: 1 = slightly swollen; 2 = swollen; 3 = green foliage showing; 4 = elongating. Individual twigs were recorded as flushing on the average bud burst date among all their buds. Percentage bud burst (PB) and thermal time (TT) to bud burst (dd > 0 °C) were calculated for each treatment in both experiments."
gomory15,Go_mo_ry_2015_EurJForestRes.pdf,"Gomory, D., Foffova E., Longauer R., Krajmerova D.",2015,Memory effects associated with early-growth environment in Norway spruce and European larch,Eur. J Forest Res,134,89-97,EF,EF,"Figure 1 a and b, Figure 2 and b",,,daystobudburst,k,y,y,"Picea abies, Larix decidua","1 Dormant bud without signs of flushing
2 Bud slightly elongated, minor separation of terminal bud scales
3 Elongated, swollen bud with scale separation throughout the bud
4 Bud strongly swollen, tips of needles emerging
5 Protruding needles reaching the length of the bud 6 Fully ruptured bud
7 Start of shoot elongation"
gould12,Gould_2012_TreePhys.pdf,"Gould, P.J., Harrington, C.A., St. Clair, J.B.",2012,Growth phenology of coast Douglas-fir seed sources planted in diverse environments,Tree Physiology,32,1482-1496,,,,"Looks to be multiple in situ study, may not be a good match",,"daysto50%budburst, cumulativegrowth, heightgrowth, ",n,m,y,Pseudotsuga menziesii,
granhus09,Granhus_2009_TreePhysiol.pdf,"Granhus, A., Floistad I.S., Gunnhild S.",2009,Bud burst timing in Picea abies seedlings as affected by temperature during dormancy induction and mild spells during chilling,Tree Physiology,29,497-503,EMW,EMW,"Fig 2 A (diff temp, across origins)",Growth stage rubric detailed on pg 498-499,,"daystobudburst, percentstage2, percentburst",k,y,y,Picea abies,"Terminal bud set was recorded three times per week on all seedlings in four pots from each replicate and DT temper- ature (12 and 21 °C). The recordings continued until all seedlings had formed a tiny white bud, corresponding to Stage 1 in the scheme presented by Johnsen (1989). The progress of bud burst was recorded at the end of each MS period, and three times per week during forcing. The following scale, modified from Krutzsch (1973), was used: (1) dormant, (2) marked swelling and gray-green bud color, (3) needle tips emerging through bud scales and (4) elongation of needles to about double bud length. A seedling was considered to have burst bud on reaching Stage 3. The bud burst recordings were terminated after 140 days."
guak98,Guak_1998_TreePhys.pdf,"Guak S., Olsyzk D.M., Fuchigami L.H., Tingey D.T.",1998,Effects of elevated CO2 and temperature on cold hardiness and spring bud burst and growth in Douglas-fir (Pseudotsuga menziesii),Tree Physiology,18,671-679,JS,,"Fig 5, possibly Fig 6.",Extra treatment of elevated CO2. Growth stage rubric detailed on pg 673.,,"daystobudburst, daysto30%budburst",k,m,y,Pseudotsuga menziesii,"Leader buds (14 trees per replication) were examined on March 4 and weekly from March 18 until June 3, 1996. Branch terminal buds (four trees per replication) were monitored at 3-day intervals from mid-February to mid-May. Time of bud burst was determined as the date that green needles emerged ≈ 2 mm through scales from leader buds and branch terminal buds. For leader buds, time of bud burst was determined from the mean of those buds that had burst by June 3, 1996, whereas for the branch terminal buds, mean date to 30% bud burst (DBB 30% ) was determined from regressions of % bud burst and time. New shoot growth was measured on June 3, 1996."
gunderson12,Gunderson_2012_GlbChngBio.pdf,"Guderson C.A., et al.",2012,Forest phenology and a warmer climate – growing season extension in relation to climatic provenance,Global Change Biology,18,2008-2025,EF,EF,"Fig 1, 2a + b possibly",Growth stage rubric detailed on pg 2011. Open top chambers.,,unique score,k,y,y,"Liquidambar styraciflua, Quercus rubra, Populus grandidentata, Betula alleghaniensis","A scale from 1 (no bud activity) to 6 (leaves flat and expanded) was used, adapted from the phenological stages of maple in Norby et al. (2003). At stage 2, buds were swollen; at 3, buds were just open and leaf tips were beginning to emerge. At stage 4, leaves had fully emerged from the buds, but were still folded, crinkled, or for Quercus, pen- dant. At stage 5, leaves were unfolded but not expanded. Species and treatment comparisons were made using dates of BB (stage 4 leaf emergence), estimated by interpolation from graphs of mean bud stage as a function of time for each species and treatment."
gutterman CRC,Ghelardini_2014_BMCPlantBio.pdf,,2014,,,,,,,,,,qtlmapping,n,n,y,Salix spp.,"Bud burst, defined as in Experiment 1, was assessed twice a week during April and May 2009 and 2010. Date of bud burst and date of apex abscission were expressed as day of the year (DOY), i.e. number of days since January 1."
gutterman88,Gutterman_1988_BotGazette.pdf,Gutterman,1998,"Flowering Affected by Daylength and Temperature in the Leafless Flowering Desert Geophyte Colchicum tunicatum, Its Annual Life Cycle and Vegetative Propagation",Botanical Gazette,149,382-390,,"EMW started, TS continued","Table 2, Fig 11",Figure 8 looks good,https://books.google.com/books?id=ZcTP7Kb01NAC&pg=PA242&lpg=PA242&dq=GUTTERMAn+and+BOEKEN+1986&source=bl&ots=b89jBmwGiS&sig=vlRUdNRSmkWMoOgJ0HyE-HByCOY&hl=en&sa=X&ei=lJOZVI-ZA5DGsQSywoCIDw&ved=0CCIQ6AEwAg#v=onepage&q=GUTTERMAn%20and%20BOEKEN%201986&f=false,percentflowering,e,y,flower,Colchicum tunicatum,
hackett74,,Hackett,1974,Environmental factors affecting flowering in Pelargonium domesticum cultivars,J Am Soc Hort Sci ,99,15-17,,,,,,,,,,,
hakkinen98,Hakkinen_1998_TreePhysiol.pdf,,1998,,,,,,,,"Looking at dormancy, not a great match.",,stageofdormancy,n,m,y,Betula pendula,
hall61,,"Hall IV, Ludwig RA",1961,The effect of photoperiod on the growth and flowering of the highbush blueberry (Vaccinium corymbosum L.),Can J Bot,39,1733-1739,,,,ILL request,,,,,,,
hamann01,Hamann_2001_ForestrySciences.pdf,,2001,,,,,,,,"In situ and more about genetics, not good match.",,"daystobudburst, growthrate",n,m,y,Alnus rubra,Monthly height measurements from 100 trees for each of the 65 provenances over the period of one year were evaluated to examine differences in growth patterns among provenances during the second growing season. Abscission of the top five leaves and bud break of the top five buds was recorded in weekly intervals at the end of the first growing season and the beginning of the second growing season. The average day of bud break and the average date of leaf abscission were calculated as weighted averages for individual trees from these repeated measurements.
hannerz99,Hannerz_1999_CanJForRes.pdf,,1999,,,,,,,,Growth stage rubric detailed on page 11.,,"forcingunits, temperaturesum",n,y,y,Picea abies,"Dormant buds
Buds slightly swollen, needles below buds bent backwards and outwards Buds swollen, green to grey-green in colour, bud scales still closed
Burst of bud scales, tips of needles emerging
First elongation of needles to about double bud length
First spread of needles, buds have now the appearance of a painter’s brush Elongation of shoot, basal needles not yet spread
Differentiation of shoot, basal needles spread
All needles more or less spread, new buds developing"
hanninen07,Hanninen_2007_TreePhys.pdf,,2007,,,,,,,,Whole tree chambers. Test of modeling. Not good match.,,various,n,n,y,Picea abies,
hanninen11,Hanninen_2011_TrendsPlantSci.pdf,,2011,,,,,,,,"Opinion piece, not a study.",,––,n,n,––,––,
hanninen91,Hanninen_1991_PlantCellEnv.pdf,,1991,,,,,,,,"Frost damage treatment that tests a model, not good match.",,various,n,n,y,Finnish tree spp.,
hanninen95,Hanninen_1995_CanJBot.pdf,,1995,,,,,,,,"Study on modeling, not good match.",,various,n,n,y,Finnish tree spp.,
harrington10,Harrington_2010_ForestEco&Management.pdf,,2010,,,,,,,,,,"chillingunits, predictedbudburst",m,n,y,Pseudotsuga menziesii,
harrington15,Harrington_2015_FrontPlantSci.pdf,,2015,,,,,,,,Growth stage rubric detailed on page 3. Don't see pertinent data table or figure.,,forcingunits,m,m,y,"Abies spp., Arbutus menziesii, Larix laricina, Thuja plicata, Tsuga heterophylla, Pinus spp., Pseudotsuga menziesii","Budburst was determined to occur when the bud scales had parted sufficiently to see green leaf tissue or when the tip of western redcedar was 2 cm from the bottom of the mark made in the fall (i.e., when approximately 1 cm of growth had occurred). Pine species were also coded for shoot elongation which occurred prior to needle emergence. We later determined that the shoots of some seedlings in the low chilling treatments initially coded as “bud burst” did not continue to elongate past the point of parting the bud scales; these seedlings were re-coded to indicate normal budburst had not occurred."
harter88,Harter_1988_Actahort.pdf,Herter F.G.,1988,"Dormancy development in apples trees cvs. Gala, Golden and Fuji in Pelotas, RS",Acta Horticulturae,232,109-115,EMW,,,Hours to budburst but can be transposed to days.,,daystobudburst,k,y,y,Malus spp.,
hawerroth13,Hawerroth_2013_RevBrasdeFrut.pdf,,2013,,,,,DF,DF,,"Focus on chilling, may not be good fit.",,percentbudburst,m,y,y,Malus spp.,
hawkins12,Hawkins_2012_ScJrnForestResearch.pdf,"Hawkins C.D.B., Dhar A.",2012,Spring bud phenology of 18 Betula papyrifera populations in British Columbia,Scand J For Res,27,507-519,DF,DF,,"Three common gardens, 18 populations, interesting for latitude/local adaptation angle",,daysto50%budburst,k,y,y,Betula papyrifera,
heide03,Heide_2003_TreePhys.pdf,Heide OM,2003,Daylength and thermal time responses of budbui^t during dormancy release in some northern deciduous trees,Tree Physiology,23,931-936,,TS,,More of a test of previous autumn temp than forcing temp,,daystobudburst,m,y,y,"Betula pendula, Betula pubescens, Alnus glutinosa",Dates of bud burst were recorded for the terminal and upper lateral buds every second day based on the criterion for bud burst defined as Stage 3 of Murray et al. (1989) (green foliage showing).
heide05,Heide_2005_TreePhys.pdf,"Heide OM, Prestrud AK",2005,"Low temperature, but not photoperiod, controls growth cessation and dormancy induction and release in apple and pear",Tree Physiology,25,109-114,,TS,"Fig 1, Fig 2, Fig 3",,,"numberofleaves, elongation",e,n,y,"Malus pumila, Pyrus communis","Elongation growth and production of new leaves were monitored by weekly measurements of plant heights and recording of leaf numbers (>2 cm). The data for final plant heights and leaf numbers after 8 weeks of treatment were subjected to analysis of variance (ANOVA) by standard procedures using a MiniTabO_ Statistical Software program package (Release 15; Minitab, Inc., State College, PA, USA)."
heide11,Heide_2011_ExpBot.pdf,Heide OM,2011,Temperature rather than photoperiod controls growth cessation and dormancy in Sorbus species,Journal of Experimental Botany,62,5397–5404,,TS,"Fig 1, Fig 3, Fig 4",,,Elongation,e,n,y,Sorbus spp.,
heide93a,Heide_1993_PhysPlant.pdf,Heide OM,1993,Dormancy release in beech buds (Fagus sylvatica) requires both chilling and long days,Physiologia Plantarum,89,187-191,EMW,EMW,Fig 2,Good photoperiod and temperature study.,,"daystobudburst, percentbudburst",k,m,y,Fagus sylvatica,Time of budburst was defined as the day when at least one bud on a cutting had reached stage 3 (green foliage showing). Percentage budburst refers to cuttings with at least one burst bud.
