datasetID,study,genus,species,varetc,population,population detail,population latlong,population altitude m,material,forcetemp,dormancy_induction_temp,dormancy_induction_days,,photoperiod_day,photoperiod_night,fieldchill,chilltemp,chillphotoperiod,chilldays,number.longdays,irradiance,irradiance units,humidity,respvar,response (pre-treatment),response (post-treatment,response,response time,n,error type,resp_error,figure/table (if applicable)
basler12,,Fraxinus,excelsior,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,43.78,,,SD,5.042,fig3
basler12,,Fraxinus,excelsior,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,46.81,,,SD,3.445,fig3
basler12,,Fraxinus,excelsior,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,46.98,,,SD,4.034,fig3
basler12,,Fraxinus,excelsior,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,48.91,,,SD,5.715,fig3
basler12,,Fraxinus,excelsior,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,46.3,,,SD,4.621,fig3
basler12,,Fagus,sylvatica,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,49.15,,,SD,3.868,fig3
basler12,,Fagus,sylvatica,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,44.25,,,SD,3.396,fig3
basler12,,Fagus,sylvatica,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,52.17,,,SD,4.057,fig3
basler12,,Fagus,sylvatica,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,43.21,,,SD,2.359,fig3
basler12,,Fagus,sylvatica,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,50.76,,,SD,4.812,fig3
basler12,,Fagus,sylvatica,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,45.09,,,SD,3.207,fig3
basler12,,Fagus,sylvatica,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,53.59,,,SD,3.397,fig3
basler12,,Fagus,sylvatica,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,46.51,,,SD,2.925,fig3
basler12,,Picea,abies,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,54.06,,,SD,3.396,fig3
basler12,,Picea,abies,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,51.04,,,SD,2.925,fig3
basler12,,Picea,abies,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,56.6,,,SD,5.283,fig3
basler12,,Picea,abies,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,52.17,,,SD,3.207,fig3
basler12,,Picea,abies,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,58.96,,,SD,2.925,fig3
basler12,,Picea,abies,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,52.26,,,SD,4.906,fig3
basler12,,Picea,abies,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,61.32,,,SD,3.302,fig3
basler12,,Picea,abies,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,52.55,,,SD,2.925,fig3
basler12,,Larix,decudia,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,22.45,,,SD,2.453,fig3
basler12,,Larix,decudia,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,22.08,,,SD,4.434,fig3
basler12,,Larix,decudia,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,22.17,,,SD,2.924,fig3
basler12,,Larix,decudia,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,21.6,,,SD,3.113,fig3
basler12,,Larix,decudia,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,25.85,,,SD,3.396,fig3
basler12,,Larix,decudia,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,27.74,,,SD,3.49,fig3
basler12,,Larix,decudia,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,28.77,,,SD,3.491,fig3
basler12,,Larix,decudia,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,28.49,,,SD,3.302,fig3
basler12,,Prunus,avium,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,21.32,,,SD,3.397,fig3
basler12,,Prunus,avium,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,20.76,,,SD,3.302,fig3
basler12,,Prunus,avium,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Prunus,avium,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Prunus,avium,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,22.55,,,SD,3.396,fig3
basler12,,Prunus,avium,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,22.45,,,SD,3.019,fig3
basler12,,Prunus,avium,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Prunus,avium,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Quercus,patraea,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,52.93,,,SD,3.68,fig3
basler12,,Quercus,patraea,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,50.66,,,SD,4.717,fig3
basler12,,Quercus,patraea,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,62.08,,,SD,2.736,fig3
basler12,,Quercus,patraea,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,54.72,,,SD,4.339,fig3
basler12,,Quercus,patraea,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,54.81,,,SD,6.038,fig3
basler12,,Quercus,patraea,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,52.93,,,SD,5.283,fig3
basler12,,Quercus,patraea,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,62.36,,,SD,3.679,fig3
basler12,,Quercus,patraea,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,53.21,,,SD,3.397,fig3
basler12,,Tilia,cordata,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,60.38,,,SD,3.868,fig3
basler12,,Tilia,cordata,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,54.43,,,SD,4.717,fig3
basler12,,Tilia,cordata,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Tilia,cordata,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Tilia,cordata,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,61.51,,,SD,3.019,fig3
basler12,,Tilia,cordata,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,56.89,,,SD,4.056,fig3
basler12,,Tilia,cordata,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Tilia,cordata,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Sorbus,aucuparia,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,21.98,,,SD,4.434,fig3
basler12,,Sorbus,aucuparia,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,22.26,,,SD,3.113,fig3
basler12,,Sorbus,aucuparia,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,25.19,,,SD,3.018,fig3
basler12,,Sorbus,aucuparia,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,25.57,,,SD,1.603,fig3
basler12,,Sorbus,aucuparia,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,24.81,,,SD,3.585,fig3
basler12,,Sorbus,aucuparia,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,25,,,SD,2.735,fig3
basler12,,Sorbus,aucuparia,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,31.32,,,SD,3.302,fig3
basler12,,Sorbus,aucuparia,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,30.94,,,SD,2.83,fig3
basler12,,Abies,alba,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,56.42,,,SD,4.717,fig3
basler12,,Abies,alba,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,52.17,,,SD,2.736,fig3
basler12,,Abies,alba,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,59.62,,,SD,3.301,fig3
basler12,,Abies,alba,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,49.25,,,SD,6.32,fig3
basler12,,Abies,alba,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,61.51,,,SD,4.811,fig3
basler12,,Abies,alba,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,55.09,,,SD,2.924,fig3
basler12,,Abies,alba,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,61.6,,,SD,5,fig3
basler12,,Abies,alba,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,51.51,,,SD,5.755,fig3
basler12,,Acer,pseudoplatanus,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,37.333,206.815,244.15,,,SD,31.408,fig4
basler12,,Acer,pseudoplatanus,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,37.333,199.704,237.04,,,SD,33.185,fig4
basler12,,Acer,pseudoplatanus,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,34.37,139.852,174.22,,,SD,26.074,fig4
basler12,,Acer,pseudoplatanus,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,33.185,138.074,171.26,,,SD,33.777,fig4
basler12,,Acer,pseudoplatanus,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,6.519,277.333,283.85,,,SD,34.371,fig4
basler12,,Acer,pseudoplatanus,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,6.519,271.407,277.93,,,SD,31.407,fig4
basler12,,Acer,pseudoplatanus,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,5.333,129.186,134.52,,,SD,27.26,fig4
basler12,,Acer,pseudoplatanus,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,4.741,129.185,133.93,,,SD,32.593,fig4
basler12,,Betula,pendula,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,120.654,81.426,202.08,,,SD,8.915,fig4
basler12,,Betula,pendula,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,120.654,80.238,200.89,,,SD,9.51,fig4
basler12,,Betula,pendula,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,30.906,77.266,108.17,,,SD,16.048,fig4
basler12,,Betula,pendula,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,31.501,74.294,105.8,,,SD,19.613,fig4
basler12,,Betula,pendula,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,35.661,104.606,140.27,,,SD,28.529,fig4
basler12,,Betula,pendula,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,35.067,104.606,139.67,,,SD,19.614,fig4
basler12,,Betula,pendula,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,4.16,104.012,108.17,,,SD,16.047,fig4
basler12,,Betula,pendula,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,4.755,94.502,99.26,,,SD,23.179,fig4
basler12,,Aesculus,hippocastanum,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,121.068,97.923,218.99,,,SD,8.915,fig4
basler12,,Aesculus,hippocastanum,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,120.475,97.329,217.8,,,SD,8.915,fig4
basler12,,Aesculus,hippocastanum,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,90.208,94.955,185.16,,,SD,8.915,fig4
basler12,,Aesculus,hippocastanum,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,89.614,93.175,182.79,,,SD,8.915,fig4
basler12,,Aesculus,hippocastanum,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,NA,NA,NA,,,NA,NA,fig4
basler12,,Aesculus,hippocastanum,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,NA,NA,NA,,,NA,NA,fig4
basler12,,Aesculus,hippocastanum,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,NA,NA,NA,,,NA,NA,fig4
basler12,,Aesculus,hippocastanum,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,NA,NA,NA,,,NA,NA,fig4
basler12,,Syringa,vulgaris,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,120.475,100.297,220.77,,,SD,17.211,fig4
basler12,,Syringa,vulgaris,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,121.068,97.923,218.99,,,SD,8.915,fig4
basler12,,Syringa,vulgaris,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,90.208,106.231,196.44,,,SD,8.915,fig4
basler12,,Syringa,vulgaris,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,89.614,106.232,195.85,,,SD,8.915,fig4
basler12,,Syringa,vulgaris,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,NA,NA,NA,,,NA,NA,fig4
basler12,,Syringa,vulgaris,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,NA,NA,NA,,,NA,NA,fig4
basler12,,Syringa,vulgaris,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,NA,NA,NA,,,NA,NA,fig4
basler12,,Syringa,vulgaris,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,NA,NA,NA,,,NA,NA,fig4
basler12,,Corylus,avellana,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,121.481,130.963,252.44,,,SD,24.888,fig4
basler12,,Corylus,avellana,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,120.889,122.074,242.96,,,SD,26.074,fig4
basler12,,Corylus,avellana,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,90.074,139.852,229.93,,,SD,26.667,fig4
basler12,,Corylus,avellana,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,90.074,144.593,234.67,,,SD,30.815,fig4
basler12,,Corylus,avellana,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,36.741,145.185,181.93,,,SD,30.222,fig4
basler12,,Corylus,avellana,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,36.148,135.704,171.85,,,SD,25.482,fig4
basler12,,Corylus,avellana,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,33.185,152.296,185.48,,,SD,29.037,fig4
basler12,,Corylus,avellana,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,32.593,149.333,181.93,,,SD,21.334,fig4
basler12,,Fraxinus,excelsior,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,121.481,202.667,324.15,,,SD,31.407,fig4
basler12,,Fraxinus,excelsior,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,120.889,188.444,309.33,,,SD,27.852,fig4
basler12,,Fraxinus,excelsior,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,90.074,199.704,289.78,,,SD,42.075,fig4
basler12,,Fraxinus,excelsior,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,91.852,182.518,274.37,,,SD,35.556,fig4
basler12,,Fraxinus,excelsior,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,39.111,200.889,240,,,SD,26.074,fig4
basler12,,Fraxinus,excelsior,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,39.111,203.259,242.37,,,SD,31.407,fig4
basler12,,Fraxinus,excelsior,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,35.556,215.111,250.67,,,SD,42.074,fig4
basler12,,Fraxinus,excelsior,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,34.963,197.333,232.3,,,SD,34.962,fig4
basler12,,Fagus,sylvatica,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,121.481,220.445,341.93,,,SD,26.667,fig4
basler12,,Fagus,sylvatica,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,121.481,186.075,307.56,,,SD,24.296,fig4
basler12,,Fagus,sylvatica,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,90.667,241.185,331.85,,,SD,29.037,fig4
basler12,,Fagus,sylvatica,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,90.667,180.148,270.82,,,SD,16.593,fig4
basler12,,Fagus,sylvatica,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,37.333,231.704,269.04,,,SD,36.148,fig4
basler12,,Fagus,sylvatica,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,37.333,192,229.33,,,SD,24.889,fig4
basler12,,Fagus,sylvatica,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,degree-daystobudburst,32,251.259,283.26,,,SD,26.074,fig4
basler12,,Fagus,sylvatica,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,degree-daystobudburst,32.593,201.481,234.07,,,SD,23.703,fig4
