"datasetIDlatlong","Chilling_Hours","Utah_Model","Chill_portions"
"pagter15.64.11.5.2013-02-15",NA,NA,NA
"partanen01.61.93333333.26.68333333.1997-12-05",859,838.5,46.3548660641564
"partanen01.61.08333333.24.1997-12-05",905,910,48.209743375589
"partanen01.60.78333333.27.5.1997-12-05",874,898.5,47.9101147169009
"partanen05.61.81666667.29.31666667.1992-09-14",6,6.5,4.01539499853625
"partanen05.61.81666667.29.31666667.1992-09-28",44,164.5,12.0436060721415
"partanen05.61.81666667.29.31666667.1992-10-12",230,395.5,21.6949900151025
"partanen05.61.81666667.29.31666667.1992-10-26",295,421,26.726875753584
"partanen05.61.81666667.29.31666667.1992-11-09",366,462,32.1876613831268
"partanen05.61.81666667.29.31666667.1992-11-23",407,462,33.1347452297021
"partanen05.61.81666667.29.31666667.1992-12-07",539,510,41.0618494411221
"partanen05.61.81666667.29.31666667.1992-12-27",713,595.5,50.661804641482
"partanen05.61.81666667.29.31666667.1993-01-17",835,615.5,56.3828313641631
"partanen05.61.81666667.29.31666667.1993-02-07",952,640,63.5030379896923
"partanen05.61.81666667.29.31666667.1993-02-24",1006,655,66.8652063024892
"partanen05.61.81666667.29.31666667.1993-03-13",1013,655,67.1098685918547
"partanen05.61.81666667.29.31666667.1993-04-03",1310,789.5,84.743658050012
"partanen05.61.81666667.29.31666667.1993-04-17",1421,834.5,92.494515665366
"partanen05.61.81666667.29.31666667.1993-05-01",1625,999,102.756949282725
"partanen05.61.81666667.29.31666667.1993-05-10",1689,1076.5,107.536821054001
"partanen98.60.03333.23.05.1994-11-02",576,944,43.3859792854633
"partanen98.60.03333.23.05.1994-12-02",996,1240,61.2594051337791
"partanen98.64.85.29.583.1994-11-02",640,518,32.3362303665508
"partanen98.64.85.29.583.1994-11-02",844,866,41.2672265909556
"partanen98.64.85.29.583.1994-12-02",645,518,32.519322345147
"partanen98.64.85.29.583.1994-12-02",875,872.5,44.2289769649879
"partanen98.60.35.24.983.1994-11-02",770,937.5,44.3303364214595
"partanen98.60.35.24.983.1994-11-02",625,905.5,44.0540392053401
"partanen98.60.35.24.983.1994-12-02",909,958,47.049895715944
"partanen98.60.35.24.983.1994-12-02",940,1102,60.026729745415
"partanen98.64.85.29.583.1993-12-07",645,518,32.5228964857835
"partanen98.64.85.29.583.1993-12-20",654,518,32.8012905449162
"partanen98.60.35.24.983.1993-12-07",968,972,52.6208104319974
"partanen98.60.35.24.983.1993-12-20",1051,993.5,56.0563302251895
"ramos99.37.857154.-4.804077.1996-10-17",7,-496.5,0.990322480997675
"ramos99.37.857154.-4.804077.1996-11-20",90,-494.5,6.83740315581174
"ramos99.37.857154.-4.804077.1996-12-18",229,-189.5,24.6495097556119
"ramos99.37.857154.-4.804077.1997-01-09",388,147,40.4287309312893
"ramos99.37.857154.-4.804077.1997-01-23",452,349.5,49.5111605966855
"ramos99.37.857154.-4.804077.1997-02-07",523,520,59.5136608258999
"ramos99.37.857154.-4.804077.1997-02-20",619,665.5,67.8407939055717
"rinne94.65.16666667.27.33333333.",1406,1075,83.2944832851928
"rinne97.65.167.27.33.",1288,899,66.9352992837312
"ruesink98.52.0667.4.65.1994-07-19",2978,3602,185.677615880776
"ruesink98.52.0667.4.65.1995-01-18",1009,1667.5,87.7549240132784
"ruesink98.52.0667.4.65.1994-02-02",1724,2138.5,98.8254119921534
"Sanz-Perez09.40.4.-3.48.2005-01-31",1090,712.5,72.5399663424742
"skre08.59.75.9.46667.2001-01-25",1732,1789.5,76.9134258936574
"skre08.64.38333.21.66667.2001-01-25",NA,NA,NA
"skre08.68.61667.14.61667.2001-01-25",NA,NA,NA
"skre08.69.45.27.2001-01-25",1047,1030.5,56.8431779987306
"skre08.70.66667.23.68333.2001-01-25",1535,1652.5,86.1262604701896
"skre08.59.75.9.46667.2001-11-22",849,1202.5,58.8550993487019
"skre08.64.38333.21.66667.2001-11-22",NA,NA,NA
"skre08.68.61667.14.61667.2001-11-22",NA,NA,NA
"skre08.69.45.27.2001-11-22",467,422.5,30.1628500780726
"skre08.70.66667.23.68333.2001-11-22",852,842.5,45.9312006520706
"skuterud94.61.5.24.33.1993-11-25",547,572,38.8599648371495
"skuterud94.61.5.24.33.1993-11-25",935,930,46.8631840077518
"skuterud94.59.666.11.33.1993-11-25",816,890,49.2645558526273
"skuterud94.59.666.11.33.1993-11-25",989,1085,53.5348764345809
"skuterud94.60.5.10.166.1993-11-25",580,745.5,41.2191674179062
"skuterud94.60.5.10.166.1993-11-25",929,907.5,43.8534947658669
"skuterud94.61.5.24.333.1993-11-25",943,949,46.6357388803358
"skuterud94.59.666.11.333.1993-11-25",996,1099.5,53.5384685148032
"skuterud94.60.5.10.167.1993-11-25",937,923,44.3870305661693
"smeets80.51.984.5.665.1977-05-02",2747,3130.5,155.296531597868
"smeets82.51.984.5.665.1979-03-01",1209,1470.5,93.7485292980316
"smeets82.51.984.5.665.",2095,2445.5,138.610867913949
"sogaard08.60.27777778.12.73444444.",1602,1052,96.6593411622971
"sonsteby06.59.666.10.792.2004-07-07",2814,2611,163.18781540122
"sonsteby06.59.666.10.792.2004-08-25",2829,2229.5,167.164518764573
"sonsteby06.59.666.10.792.2004-07-20",2814,2583,164.199078680073
"sonsteby09a.51.966.5.666.",2080,2724.5,138.292884454811
"sonsteby09a.51.295.0.443.",1746,2475,136.547657592414
"sonsteby09b.51.966.5.666.",2548,2296.5,138.919511354494
"sonsteby09b.51.295.0.443.",2586,2712.5,148.307753318677
"sonsteby13.65.666.22.156.",1319,1323,94.8166105442177
"sonsteby13.59.666.10.792.",1622,1660,115.214507862547
"sonsteby13.65.3426.21.397.",1424,1374.5,99.424342532023
"sonsteby13.56.5.-3.062.",2839,3074.5,156.265104813042
"sonsteby13.52.20.151.",2098,2291,127.443104529764
"sonsteby13.56.16.14.16.",2139,2130,125.539749736756
"sonsteby13.51.966.20.154.",2646,2330.5,131.906260549352
"sonsteby14.65.3426.21.397.2010-11-03",710,820,42.7861179983342
"sonsteby14.56.5.-3.062.2010-11-03",359,771,38.4410731626704
"sonsteby14.59.666.10.792.2010-11-03",524,832,41.9702301340559
"sonsteby14.51.966.20.154.2010-11-03",553,765,37.0308558101128
"sonsteby14.56.5.-3.062.2011-10-19",86,393,23.8748559280721
"sonsteby14.59.666.10.792.2011-10-19",239,432,22.9553284908798
"sonsteby14.56.5.-3.062.2012-10-17",66,369,23.0381588838226
"sonsteby14.56.5.-3.062.2012-10-17",315,566,29.2118844037503
"sonsteby14.59.666.10.792.2012-10-17",226,411,22.9553284908798
"sonsteby14.59.666.10.792.2012-10-17",362,595,29.7598859395376
"sonsteby14.56.5.-3.062.2013-10-22",344,617.5,31.6678761151429
"sonsteby14.56.5.-3.062.2013-10-22",265,739,34.5973857110847
"sonsteby14.59.666.10.792.2013-10-22",382,680.5,32.0290440100253
"sonsteby14.59.666.10.792.2013-10-22",420,545.5,28.9714478137058
"verheul07.58.761.5.652.",3100,3442.5,164.358825689445
"verheul07.58.761.5.652.2005-01-01",1176,1768,81.0403710249309
"verheul07.58.761.5.652.2005-01-03",1224,1805.5,82.8118890510516
"verheul07.58.761.5.652.2005-01-05",1266,1845,84.8097392387848
"verheul07.58.761.5.652.2005-01-06",1290,1869,85.7065212575165
"verheul07.58.761.5.652.2005-01-11",1369,1983.5,88.9550697082092
"verheul07.58.761.5.652.2005-01-12",1378,2007.5,89.954579789393
"verheul07.58.761.5.652.2005-01-13",1387,2031.5,90.8765580612874
"verheul07.58.761.5.652.2005-01-15",1426,2067.5,92.5070669104012
"verheul07.58.761.5.652.2005-01-17",1462,2107,94.508778932505
"verheul07.58.761.5.652.2005-01-18",1477,2131,95.5147011899446
"verheul07.58.761.5.652.2005-01-19",1499,2146,95.5105839019387
"verheul07.58.761.5.652.2005-01-21",1547,2167.5,97.3929739948003
"verheul07.58.761.5.652.2005-01-20",1523,2154.5,96.2869860983965
"verheul07.58.761.5.652.2005-01-23",1583,2185,98.1284341940323
"verheul07.58.761.5.652.2005-01-25",1605,2191.5,98.7941674632667
"verheul07.58.761.5.652.2005-01-27",1616,2193,99.0442269093741
"verheul07.58.761.5.652.2005-01-28",1636,2202.5,101.240622285214
"verheul07.58.761.5.652.2005-02-05",1809,2346.5,107.527728508764
"verheul07.58.761.5.652.2005-02-08",1881,2402.5,108.904718941707
"verheul07.58.761.5.652.2005-02-09",1905,2407,109.477784447724
"voipio01.59.666.10.792.1998-11-16",711,902.5,42.3552843469332
"ashby62.42.988.-89.412.",1356,877,98.7993000741226
"ashby62.44.87.-89.92.",1114,874,89.0070562359398
"ashby62.41.947.-86.334.",1733,1044.5,113.157728760198
"ashby62.41.947.-86.334.1956-12-11",482,167.5,32.7110765332661
"ashby62.41.947.-86.334.1957-01-08",738,311,44.0158498336302
"ashby62.41.947.-86.334.1957-02-05",806,344.5,53.8545038584615
"ashby62.41.947.-86.334.1957-03-04",1075,496.5,71.5627285197954
"boyer.37.-76.1983-09-15",NA,NA,NA
"boyer.32.-81.1983-09-15",0,-360,0
"boyer.32.-81.1983-11-15",54,-1195.5,3.78740252007251
"boyer.32.-81.1983-12-06",145,-1182,9.25494313550545
"boyer.32.-81.1983-12-15",187,-1139,12.3949985781398
"boyer.32.-81.1983-12-21",241,-1037.5,17.720445589333
"boyer.34.-94.1983-11-15",173,-695.5,10.0777235143639
"boyer.34.-94.1983-12-06",339,-501,21.8892636997449
"boyer.34.-94.1983-12-15",414,-419.5,26.9910173361187
"boyer.34.-94.1983-12-21",442,-401.5,29.4261802318693
"boyer.34.-84.1983-11-15",201,-341,14.3159543378212
"boyer.34.-84.1983-12-06",356,-161.5,25.8389632136235
"boyer.34.-84.1983-12-15",450,-39,32.2628092744282
"boyer.34.-84.1983-12-21",549,41.5,36.559966879082
"boyer.32.81.1983-11-15",54,-1195.5,3.78740252007251
"boyer.32.81.1983-12-06",145,-1182,9.25494313550545
"boyer.32.81.1983-12-15",187,-1139,12.3949985781398
"boyer.32.81.1983-12-21",241,-1037.5,17.720445589333
"bradford10.42.7.-75.968.2007-10-25",225,86,15.8769071395531
"bradford10.39.399.-76.94.2007-10-25",38,-607,2.81377580247222
"calme94.46.5.-78.833.1992-10-05",213,109.5,12.3010640018348
"calme94.46.5.-78.833.1992-11-02",510,387.5,29.8978476905339
"calme94.46.5.-78.833.1992-11-16",678,502.5,37.2446705730074
"calme94.46.5.-78.833.1992-12-07",861,574,46.4130323791578
"calme94.46.5.-78.833.1993-02-01",1021,642.5,63.6449529941475
"calme94.46.5.-78.833.1993-03-29",1136,714,81.3156015618772
"calme94.46.5.-78.833.1993-04-26",1447,990,99.5037046931322
"calme94.46.133.-70.633.1992-10-05",191,93,13.3729007249983
"calme94.46.133.-70.633.1992-11-02",496,387,30.1888380978255
"calme94.46.133.-70.633.1992-11-16",616,473.5,38.0161739571069
"calme94.46.133.-70.633.1992-12-07",815,572,47.9218951777661
"calme94.46.133.-70.633.1993-02-01",933,621,64.0685420087162
"calme94.46.133.-70.633.1993-03-29",1019,684.5,82.1039389958055
"calme94.46.133.-70.633.1993-04-26",1314,967.5,101.279009561867
"calme94.45.633.-73.25.1992-10-05",121,-10,9.68978227105144
"calme94.45.633.-73.25.1992-11-02",470,357,27.694330404732
"calme94.45.633.-73.25.1992-11-16",635,482,35.2443047528304
"calme94.45.633.-73.25.1992-12-07",880,703.5,47.4863096910383
"calme94.45.633.-73.25.1993-01-11",987,781,60.9698509229042
"calme94.45.633.-73.25.1993-02-01",1055,841.5,68.7634268554649
"calme94.45.633.-73.25.1993-03-01",1056,841.5,68.7759953426149
"calme94.45.633.-73.25.1993-03-29",1186,946,86.5115630971951
"calme94.45.633.-73.25.1993-04-26",1520,1310.5,105.428728307091
"campbell75.45.37.-124.5.1973-09-01",NA,NA,NA
"campbell75.45.5.-122.25.1973-09-01",8,7.5,0
"campbell75.44.03.-122.8.1973-09-01",11,11.5,0
"campbell75.45.45.-122.53.1973-09-01",7,5,0
"campbell75.47.217.-122.05.1973-09-01",8,9,0
"campbell75.48.2.-123.25.1973-09-01",NA,NA,NA
"durner84.37.227.-80.423.1981-11-13",464,292,30.4004470536419
"gianfagna85.40.133.-74.524.1984-03-13",1288,985,96.2146904042734
"gianfagna85.40.133.-74.524.1984-03-27",1493,1177,107.066707486476
"gianfagna85.40.133.-74.524.1984-04-10",1678,1371.5,116.458471810416
"gianfagna85.40.133.-74.524.1984-04-24",1811,1586,127.089786324088
"guak98.45.224.-122.756.1995-06-07",2530,3048.5,155.738153578536
"gunderson12.35.9.-84.33.2004-03-01",1381,689.5,81.4323228602556
"gunderson12.42.279158.-83.744728.2004-03-01",1187,880.5,79.3625493410671
"hawkins12.49.25.117.17.1998-01-01",867,725,44.4817618377014
"hawkins12.49.63.116.05.1998-01-01",808,711.5,59.7540042703734
"hawkins12.50.07.117.38.1998-01-01",1124,1006.5,56.1550701391935
"hawkins12.51.37.118.3.1998-01-01",815,669.5,34.9594578765765
"hawkins12.50.57.118.83.1998-01-01",1140,1015.5,61.8482241056313
"hawkins12.50.77.119.53.1998-01-01",1019,986,61.3338913103093
"hawkins12.50.82.119.75.1998-01-01",993,967,58.4685131395045
"hawkins12.52.52.122.4.1998-01-01",1117,943.5,63.8553147130744
"hawkins12.52.52.121.52.1998-01-01",1128,1031.5,61.225584138913
"hawkins12.52.78.112.23.1998-01-01",930,741.5,62.6681233647785
"hawkins12.53.78.112.63.1998-01-01",910,732.5,62.2349587470832
"hawkins12.53.92.122.37.1998-01-01",1119,988.5,63.2514268129039
"hawkins12.54.1.122.35.1998-01-01",1119,988.5,63.2514268129039
"hawkins12.54.13.121.78.1998-01-01",854,604,50.3206013071605
"hawkins12.54.5.128.57.1998-01-01",821,654.5,50.2199024014186
"hawkins12.54.7.128.27.1998-01-01",821,654.5,50.2199024014186
"hawkins12.55.13.427.78.1998-01-01",821,654.5,50.2199024014186
"hawkins12.55.18.127.78.1998-01-01",821,654.5,50.2199024014186
"howe95.40.548.-124.097.",1933,2858,144.094682544743
"howe95.53.833.-122.76.",1768,1358,116.145505225146
"man10.51.254.-85.323.2009-09-01",0,-12,0
"nienstaedt66.44.166.-103.916.1958-11-28",571,406,43.7775415180178
"nienstaedt66.47.5.-94.1958-11-28",744,720.5,42.8546803255557
"nienstaedt66.54.-123.1958-11-28",707,751,46.6955089268735
"nienstaedt66.37.5.-108.1958-11-28",533,497.5,48.7175515674538
"nienstaedt66.40.416.-111.1958-11-28",539,416,42.6619108607177
"nienstaedt66.44.5.-117.916.1958-11-28",761,514.5,40.2333864800539
"nienstaedt66.37.5.-106.5.1958-11-28",603,542,46.7941268796559
"nienstaedt66.42.25.-123.75.1958-11-28",978,945.5,48.7022030177239
"okie11.32.12.-83.12.2007-01-25",644,-329,38.6927780868351
"okie11.32.12.-83.12.2008-01-18",502,-668.5,31.7435279126343
"pop2000.68.63333333.-149.6333333.1996-09-03",47,53.5,1.22040943356915
"schnabel87.46.208673.-119.76601.1984-10-11",183,77,8.77785077938939
"schnabel87.46.208673.-119.76601.1984-10-25",326,212.5,18.4647077335894
"schnabel87.46.208673.-119.76601.1984-11-08",486,379,27.7742513763824
"schnabel87.46.208673.-119.76601.1984-11-22",663,593,38.4418414751164
"schnabel87.46.208673.-119.76601.1984-12-06",844,668.5,44.569973729741
"schnabel87.46.208673.-119.76601.1984-12-20",899,687,50.0007552724469
"schnabel87.46.208673.-119.76601.1985-01-03",1025,776.5,57.6112243765358
"schnabel87.46.208673.-119.76601.1985-01-17",1030,776.5,57.7997964332458
"schnabel87.46.208673.-119.76601.1985-01-31",1131,787.5,63.6608620406183
"schnabel87.46.208673.-119.76601.1985-02-14",1194,828.5,69.5007897865381
"schnabel87.46.208673.-119.76601.1985-02-28",1369,992.5,79.4589881622467
"schnabel87.46.208673.-119.76601.1985-03-14",1540,1165,89.5827792595156
"schnabel87.46.208673.-119.76601.1984-09-26",96,4,4.51254186938937
"schnabel87.46.208673.-119.76601.1984-10-29",373,255,20.4099364273114
"schnabel87.46.208673.-119.76601.1984-11-09",504,393.5,28.864312066311
"schnabel87.46.208673.-119.76601.1984-11-29",805,644,42.509576331117
"spann04.29.67.-82.35.2001-01-03",401,-993,20.8868975707013
"spiers74.30.833.-89.551.1972-10-20",7,-1068.5,0
"spiers74.30.833.-89.551.1972-10-24",7,-1128.5,0
"spiers74.30.833.-89.551.1972-10-28",14,-1121.5,1.00014646822422
"spiers74.30.833.-89.551.1972-11-06",14,-1257.5,1.00014646822422
"spiers74.30.833.-89.551.1972-11-14",22,-1304.5,1.00014646822422
"spiers74.30.833.-89.551.1972-12-09",250,-1081.5,14.4458176167345
"spiers74.30.833.-89.551.1972-12-24",340,-1038.5,20.7308412585708
"spiers74.30.833.-89.551.1973-01-18",520,-869.5,31.9672870513698
"swartz81.38.988.-76.938.1980-11-01",211,-319,15.699126202393
"webb78.44.303.-78.318.1973-11-01",440,356,27.848297312089
"webb78.44.303.-78.318.1973-12-01",849,645.5,47.0707168892222
"webb78.44.303.-78.318.1974-05-01",1661,1223,112.037422760682
"yazdaniha64.40.98.-111.887.1962-10-23",185,-60,8.63722527886942
"yazdaniha64.40.98.-111.887.1962-12-05",666,389,34.4322163907777
