"spname","stnum","studies"
"Prunus.cerasifera",1,"zohner16"
"Prunus.padus",3,"heide93, myking98, zohner16"
"Prunus.persica",1,"chavarria09"
"Prunus.serotina",1,"laube14a"
"Prunus.serrulata",1,"zohner16"
"Prunus.tenella",1,"zohner16"
"Pseudotsuga.menziesii",3,"guak98, campbell75, laube14a"
"Ptelea.trifoliata",1,"zohner16"
"Pyrus.elaeagnifolia",1,"zohner16"
"Pyrus.pyrifolia",1,"zohner16"
"Pyrus.ussuriensis",1,"zohner16"
"Quercus.bicolor",1,"laube14a"
"Quercus.coccifera",1,"sanzperez10"
"Quercus.faginea",2,"Sanz-Perez09, sanzperez10"
"Quercus.ilex",3,"Sanz-Perez09, sanzperez10, morin10"
"Quercus.petraea",2,"basler12, basler14"
"Quercus.pubescens",1,"morin10"
"Quercus.robur",4,"laube14a, laube14b, morin10, zohner16"
"Quercus.rubra",2,"calme94, laube14a"
"Quercus.shumardii",1,"zohner16"
"Rhamnus.alpina",1,"zohner16"
"Rhamnus.cathartica",1,"zohner16"
"Rhododendron.canadense",1,"zohner16"
"Rhododendron.dauricum",1,"zohner16"
"Rhododendron.mucronulatum",1,"zohner16"
"Ribes.alpinum",1,"zohner16"
"Ribes.divaricatum",1,"zohner16"
"Ribes.glaciale",1,"zohner16"
"Ribes.nigrum",4,"jones12, heide12, pagter15, sonsteby14"
"Robinia.pseudoacacia",2,"laube14a, laube14b"
"Rosa.hugonis",1,"zohner16"
"Rosa.majalis",1,"zohner16"
"Rubus.idaeus",1,"heide93"
"Salix.gracilistyla",1,"zohner16"
"Salix.repens",1,"zohner16"
"Salix.smithiana",1,"caffarra11a"
"Sambucus.nigra",1,"zohner16"
"Sambucus.pubens",1,"zohner16"
"Sambucus.tigranii",1,"zohner16"
"Sinowilsonia.henryi",1,"zohner16"
"Sorbus.aria",1,"zohner16"
"Sorbus.aucuparia",2,"basler12, heide93"
"Sorbus.commixta",1,"zohner16"
"Sorbus.decora",1,"zohner16"
"Spiraea.canescens",1,"zohner16"
"Spiraea.chamaedryfolia",1,"zohner16"
"Spiraea.japonica",1,"zohner16"
"Stachyurus.praecox",1,"zohner16"
"Stachyurus.sinensis",1,"zohner16"
"Symphoricarpos.albus",2,"laube14a, laube14b"
"Syringa.josikaea",1,"zohner16"
"Syringa.reticulata",1,"zohner16"
"Syringa.villosa",1,"zohner16"
"Syringa.vulgaris",3,"basler12, laube14a, laube14b"
"Tilia.cordata",2,"basler12, caffarra11a"
"Tilia.dasystyla",1,"zohner16"
"Tilia.japonica",1,"zohner16"
"Tilia.platyphyllos",1,"zohner16"
"Toona.sinensis",1,"zohner16"
"Ulmus.americana",1,"zohner16"
"Ulmus.glabra",1,"ghelardini10"
"Ulmus.laevis",1,"zohner16"
"Ulmus.macrocarpa",1,"ghelardini10"
"Ulmus.minor",1,"ghelardini10"
"Ulmus.parvifolia",1,"ghelardini10"
"Ulmus.pumila",1,"ghelardini10"
"Ulmus.villosa",1,"ghelardini10"
"Vaccinium.ashei",1,"spiers74"
"Vaccinium.corymbosum",1,"spann04"
"Viburnum.betulifolium",1,"zohner16"
"Viburnum.buddleifolium",1,"zohner16"
"Viburnum.carlesii",1,"zohner16"
"Viburnum.opulus",1,"zohner16"
"Viburnum.plicatum",1,"zohner16"
"Vitis.vinifera",2,"biasi12, schnabel87"
"Weigela.coraeensis",1,"zohner16"
"Weigela.florida",1,"zohner16"
"Weigela.maximowiczii",1,"zohner16"
