"","LastName","FirstName","DatasetID","Dataset","SpeciesName","Altitude","Canopy height of stand","Latitude","Leaf area index of the site (LAI)","Leaf carbon content per dry mass","Longitude"
"36","Baldocchi","Dennis",154,"Leaf Photosynthesis and Nitrogen at Oak Ridge Dataset","Quercus rubra","365","26","35∞58'N","6","49.66071","84∞17'W"
"37","Baldocchi","Dennis",154,"Leaf Photosynthesis and Nitrogen at Oak Ridge Dataset","Quercus rubra","365","26","35∞58'N","6","49.18486","84∞17'W"
"38","Baldocchi","Dennis",154,"Leaf Photosynthesis and Nitrogen at Oak Ridge Dataset","Quercus rubra","365","26","35∞58'N","6","49.40827","84∞17'W"
"39","Baldocchi","Dennis",154,"Leaf Photosynthesis and Nitrogen at Oak Ridge Dataset","Quercus rubra","365","26","35∞58'N","6","49.77563","84∞17'W"
"40","Baldocchi","Dennis",154,"Leaf Photosynthesis and Nitrogen at Oak Ridge Dataset","Quercus rubra","365","26","35∞58'N","6","52.29189","84∞17'W"
"41","Baldocchi","Dennis",154,"Leaf Photosynthesis and Nitrogen at Oak Ridge Dataset","Quercus rubra","365","26","35∞58'N","6","49.03295","84∞17'W"
"42","Baldocchi","Dennis",154,"Leaf Photosynthesis and Nitrogen at Oak Ridge Dataset","Quercus rubra","365","26","35∞58'N","6","50.06079","84∞17'W"
"43","Baldocchi","Dennis",154,"Leaf Photosynthesis and Nitrogen at Oak Ridge Dataset","Quercus rubra","365","26","35∞58'N","6","49.96713","84∞17'W"
"44","Baldocchi","Dennis",154,"Leaf Photosynthesis and Nitrogen at Oak Ridge Dataset","Quercus rubra","365","26","35∞58'N","6","49.96713","84∞17'W"
"45","Baldocchi","Dennis",154,"Leaf Photosynthesis and Nitrogen at Oak Ridge Dataset","Quercus rubra","365","26","35∞58'N","6","49.38409","84∞17'W"
"46","Baldocchi","Dennis",154,"Leaf Photosynthesis and Nitrogen at Oak Ridge Dataset","Quercus rubra","365","26","35∞58'N","6","49.36235","84∞17'W"
