"","LastName","FirstName","DatasetID","Dataset","SpeciesName","Altitude","Latitude","Leaf lifespan (longevity","Longitude","Photosynthesis per leaf area at leaf temperature (A_area)","Plant height vegetative","Reference / source","Stomata conductance to water vapour per leaf area"
"13","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Aesculus hippocastanum","100","-53.4",NA,"-1.5",NA,"39","CornelUK",NA
"14","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Alnus glutinosa","100","-53.4",NA,"-1.5",NA,"29","CornelUK",NA
"15","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Alnus glutinosa","20","-58.25",NA,"26.67",NA,"3.3","NiinEsto",NA
"16","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Alnus incana","20","-58.25",NA,"26.67",NA,"9.9","NiinEsto",NA
"17","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Alnus incana","760","-67.5","LL)","-152.5",NA,"3","Chapin",NA
"18","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Betula papyrifera","340","-42.53",NA,"-72.18","19.3",NA,"Bassow",NA
"19","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Betula papyrifera","760","-67.5","LL)","-152.5",NA,"15","Chapin",NA
"20","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Betula pendula","100","-53.4",NA,"-1.5",NA,"30","CornelUK",NA
"21","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Betula pendula","20","-58.25",NA,"26.67",NA,"8","NiinEsto",NA
"22","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Betula pendula","150","-51.15","LL)","18.06","8.8",NA,"Oleksyn","213"
"23","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Betula pubescens","400","-68",NA,"19.5","8.273405253",NA,"KudoCorn",NA
"24","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Betula pubescens","20","-58.25",NA,"26.67",NA,"8.3","NiinEsto",NA
"25","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Carpinus betulus","150","-51.15","LL)","18.06","7.2",NA,"Oleksyn","224"
"26","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Corylus avellana","100","-53.4",NA,"-1.5",NA,"6","CornelUK",NA
"27","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Corylus avellana","20","-58.25",NA,"26.67",NA,"5.67","NiinEsto",NA
"28","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Fagus grandfolia","217","-45.56",NA,"-84.78","6.472",NA,"Jurik86",NA
"29","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Fraxinus excelsior","100","-53.4",NA,"-1.5",NA,"37","CornelUK",NA
"30","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Fraxinus excelsior","20","-58.25",NA,"26.67",NA,"10.2","NiinEsto",NA
"31","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Kalmia angustifolia","116","-45.32","LL)","-75.59","8.58568",NA,"Small",NA
"32","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Larix decidua","100","-53.4",NA,"-1.5",NA,"46","CornelUK",NA
"33","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Larix decidua","275","-42.5","LL)","-90","8.9","30","Reich","250"
"34","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Larix decidua","150","-51.15","LL)","18.06","4.14924632",NA,"Oleksyn",NA
"35","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Malus domestica","20","-58.25",NA,"26.67",NA,"1.3","NiinEsto",NA
"36","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Photinia melanocarpa","20","-58.25",NA,"26.67",NA,"1.2","NiinEsto",NA
"37","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Photinia melanocarpa","116","-45.32","LL)","-75.59","12.152525",NA,"Small",NA
"38","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Picea abies","150","-51.15","LL)","18.06","6.8930028",NA,"Oleksyn",NA
"39","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Populus grandidentata","217","-45.56",NA,"-84.78","15.084",NA,"Jurik86",NA
"40","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Populus tremula","20","-58.25",NA,"26.67",NA,"16","NiinEsto",NA
"41","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Prunus avium","20","-58.25",NA,"26.67",NA,"8.7","NiinEsto",NA
"42","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Pseudotsuga menziesii","150","-51.15","LL)","18.06","4.24470675",NA,"Oleksyn",NA
"43","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus alba","340","-42.53",NA,"-72.18","23",NA,"Bassow",NA
"44","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus faginea","900","-41","LL)","-5.7","14.8",NA,"Mediavil","220"
"45","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus ilex","100","-53.4",NA,"-1.5",NA,"25","CornelUK",NA
"46","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus ilex","285","-43.72","LL)","3.37","9.066047026",NA,"Garnier",NA
"47","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus ilex","265","-39.7",NA,"3.3","11.56",NA,"Gulias","215.75"
"48","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus petraea","100","-53.4",NA,"-1.5",NA,"42","CornelUK",NA
"49","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus pubescens","285","-43.72","LL)","3.37","7.959915046",NA,"Garnier",NA
"50","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus rubra","340","-42.53",NA,"-72.18","23.5",NA,"Bassow",NA
"51","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus rubra","100","-53.4",NA,"-1.5",NA,"34","CornelUK",NA
"52","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus rubra","217","-45.56",NA,"-84.78","12.49",NA,"Jurik86",NA
"53","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus rubra","150","-51.15","LL)","18.06","9.3",NA,"Oleksyn","214"
"54","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Ribes nigrum","100","-53.4",NA,"-1.5",NA,"2","CornelUK",NA
"55","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Ribes nigrum","20","-58.25",NA,"26.67",NA,"1.5","NiinEsto",NA
"56","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Robinia pseudoacacia","100","-53.4",NA,"-1.5",NA,"27","CornelUK",NA
"57","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Robinia pseudoacacia","775","-35.5","LL)","-83.5","9.4","21.3","Reich","297"
"58","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Sorbus aucuparia","100","-53.4",NA,"-1.5",NA,"18","CornelUK",NA
"59","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Sorbus aucuparia","20","-58.25",NA,"26.67",NA,"5.2","NiinEsto",NA
"60","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Spiraea alba","116","-45.32","LL)","-75.59","11.900005",NA,"Small",NA
"61","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Syringa vulgaris","20","-58.25",NA,"26.67",NA,"3.8","NiinEsto",NA
"62","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Tilia cordata","20","-58.25",NA,"26.67",NA,"8","NiinEsto",NA
"63","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Tilia cordata","150","-51.15","LL)","18.06","3.9",NA,"Oleksyn","111"
"64","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Vaccinium myrtilLoides","116","-45.32","LL)","-75.59","10.959368",NA,"Small",NA
"65","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Viburnum cassinoides","116","-45.32","LL)","-75.59","7.222072",NA,"Small",NA
