"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Reference / source","Woodiness"
"48","Wright","Ian",57,"Categorical Plant Traits Database","Pseudotsuga menziesii",335618,"leafSize","woody"
"49","Wright","Ian",57,"Categorical Plant Traits Database","Pseudotsuga menziesii var. menziesii",335620,"USforestTrees","woody"
"50","Wright","Ian",57,"Categorical Plant Traits Database","Pyrus melanocarpa",335819,"leafSize","woody"
"51","Wright","Ian",57,"Categorical Plant Traits Database","Quercus alba",335860,"leafSize","woody"
"52","Wright","Ian",57,"Categorical Plant Traits Database","Quercus alba",335861,"USforestTrees","woody"
"53","Wright","Ian",57,"Categorical Plant Traits Database","Quercus cf_alba",335868,"leafSize","woody"
"54","Wright","Ian",57,"Categorical Plant Traits Database","Quercus faginea",335885,"leafSize","woody"
"55","Wright","Ian",57,"Categorical Plant Traits Database","Quercus ilex",335897,"leafSize","woody"
"56","Wright","Ian",57,"Categorical Plant Traits Database","Quercus petraea",335931,"leafSize","woody"
"57","Wright","Ian",57,"Categorical Plant Traits Database","Quercus pubescens",335937,"leafSize","woody"
"58","Wright","Ian",57,"Categorical Plant Traits Database","Quercus rubra",335943,"leafSize","woody"
"59","Wright","Ian",57,"Categorical Plant Traits Database","Quercus rubra",335944,"USforestTrees","woody"
"60","Wright","Ian",57,"Categorical Plant Traits Database","Quercus velutina",335956,"leafSize","woody"
"61","Wright","Ian",57,"Categorical Plant Traits Database","Quercus velutina",335957,"USforestTrees","woody"
"62","Wright","Ian",57,"Categorical Plant Traits Database","Quercus velutina var_missouriensis",335958,"leafSize","woody"
"63","Wright","Ian",57,"Categorical Plant Traits Database","Rhododendron prinophyllum",336112,"leafSize","woody"
"64","Wright","Ian",57,"Categorical Plant Traits Database","Ribes nigrum",336155,"leafSize","woody"
"65","Wright","Ian",57,"Categorical Plant Traits Database","Robinia pseudoacacia",336209,"leafSize","woody"
"66","Wright","Ian",57,"Categorical Plant Traits Database","Robinia pseudoacacia",336210,"USforestTrees","woody"
"67","Wright","Ian",57,"Categorical Plant Traits Database","Sorbus aucuparia",336930,"leafSize","woody"
"68","Wright","Ian",57,"Categorical Plant Traits Database","Sorbus pohuashanensis",336932,"leafSize","woody"
"69","Wright","Ian",57,"Categorical Plant Traits Database","Symphoricarpos albus",337165,"leafSize","woody"
"70","Wright","Ian",57,"Categorical Plant Traits Database","Syringa vulgaris",337202,"leafSize","woody"
"71","Wright","Ian",57,"Categorical Plant Traits Database","Tilia cordata",337482,"leafSize","woody"
"72","Wright","Ian",57,"Categorical Plant Traits Database","Ulmus parvifolia",337747,"leafSize","woody"
"73","Wright","Ian",57,"Categorical Plant Traits Database","Vaccinium myrtilLoides",337818,"leafSize","woody"
"74","Wright","Ian",57,"Categorical Plant Traits Database","Viburnum cassinoides",337888,"leafSize","woody"
"75","Wright","Ian",57,"Categorical Plant Traits Database","Vitis vinifera",338004,"leafSize","woody"
