chillutah,chillports,gdd,siteslist,year,lat,long,lat.long,cc,lo
2496,123.5282766,60.57063047,4,1954,49.4167,9.28333,49.4167 9.28333,1950-1960,117
1692,102.5956706,66.39162041,4,1955,49.4167,9.28333,49.4167 9.28333,1950-1960,116
2112,105.0492049,79.64933659,4,1956,49.4167,9.28333,49.4167 9.28333,1950-1960,118
2652,129.8019651,85.8726026,4,1957,49.4167,9.28333,49.4167 9.28333,1950-1960,102
2304,112.2643768,93.13878572,4,1958,49.4167,9.28333,49.4167 9.28333,1950-1960,125
2640,119.7190712,89.08839756,4,1959,49.4167,9.28333,49.4167 9.28333,1950-1960,102
2664,126.1981781,94.42177833,4,1960,49.4167,9.28333,49.4167 9.28333,1950-1960,108
2892,133.2503361,38.73643138,5,1951,50.5167,8.81667,50.5167 8.81667,1950-1960,109
2364,120.3797849,101.322158,5,1952,50.5167,8.81667,50.5167 8.81667,1950-1960,106
2328,112.1578879,51.33014751,5,1953,50.5167,8.81667,50.5167 8.81667,1950-1960,92
2604,120.1922878,62.82687752,5,1954,50.5167,8.81667,50.5167 8.81667,1950-1960,119
1692,101.9329211,106.7009262,5,1955,50.5167,8.81667,50.5167 8.81667,1950-1960,120
2112,105.2782332,58.60430895,5,1956,50.5167,8.81667,50.5167 8.81667,1950-1960,115
2844,134.865459,78.84627426,5,1957,50.5167,8.81667,50.5167 8.81667,1950-1960,96
2244,114.9013038,37.36632026,5,1958,50.5167,8.81667,50.5167 8.81667,1950-1960,112
2544,118.7603758,67.73794735,5,1959,50.5167,8.81667,50.5167 8.81667,1950-1960,96
2676,125.0809806,49.74231646,5,1960,50.5167,8.81667,50.5167 8.81667,1950-1960,97
3084,134.5483318,76.46564465,6,1951,50,8.71667,50 8.71667,1950-1960,109
2688,130.6613965,102.8137394,6,1952,50,8.71667,50 8.71667,1950-1960,103
2232,109.7605158,90.58502376,6,1953,50,8.71667,50 8.71667,1950-1960,93
2556,121.1401169,86.64109451,6,1954,50,8.71667,50 8.71667,1950-1960,113
1812,106.6090044,125.0747576,6,1955,50,8.71667,50 8.71667,1950-1960,118
2148,105.1429956,103.4927512,6,1956,50,8.71667,50 8.71667,1950-1960,115
2736,134.988604,116.1012936,6,1957,50,8.71667,50 8.71667,1950-1960,98
2268,111.3296176,82.85466115,6,1958,50,8.71667,50 8.71667,1950-1960,120
2568,119.5216161,120.6991271,6,1959,50,8.71667,50 8.71667,1950-1960,103
2688,129.178243,99.31633634,6,1960,50,8.71667,50 8.71667,1950-1960,99
2784,129.7051995,64.89808376,7,1951,48.7167,9.21667,48.7167 9.21667,1950-1960,110
2460,122.4807282,37.10398143,7,1952,48.7167,9.21667,48.7167 9.21667,1950-1960,99
2124,106.4142102,63.80623893,7,1953,48.7167,9.21667,48.7167 9.21667,1950-1960,94
2472,121.7786043,56.88993425,7,1954,48.7167,9.21667,48.7167 9.21667,1950-1960,118
1776,107.1642493,88.38720663,7,1955,48.7167,9.21667,48.7167 9.21667,1950-1960,118
2136,106.5252971,71.01018721,7,1956,48.7167,9.21667,48.7167 9.21667,1950-1960,115
2616,127.7657372,74.77876715,7,1957,48.7167,9.21667,48.7167 9.21667,1950-1960,86
2184,111.1214227,71.52985961,7,1958,48.7167,9.21667,48.7167 9.21667,1950-1960,122
2448,117.7687028,75.17029215,7,1959,48.7167,9.21667,48.7167 9.21667,1950-1960,95
2832,124.9397771,61.92962212,7,1960,48.7167,9.21667,48.7167 9.21667,1950-1960,98
1812,104.4974524,36.67296497,8,1951,48.8333,12.9667,48.8333 12.9667,1950-1960,110
1860,96.60304774,109.5719748,8,1952,48.8333,12.9667,48.8333 12.9667,1950-1960,111
1488,94.90352431,28.09238073,8,1953,48.8333,12.9667,48.8333 12.9667,1950-1960,93
1860,103.8913632,41.35441893,8,1954,48.8333,12.9667,48.8333 12.9667,1950-1960,118
1536,94.89343312,95.7368602,8,1955,48.8333,12.9667,48.8333 12.9667,1950-1960,122
1704,94.32008931,46.29828061,8,1956,48.8333,12.9667,48.8333 12.9667,1950-1960,116
2556,119.202589,59.3767648,8,1957,48.8333,12.9667,48.8333 12.9667,1950-1960,98
1584,93.02666127,63.25319964,8,1958,48.8333,12.9667,48.8333 12.9667,1950-1960,125
2256,105.8290413,43.36154922,8,1959,48.8333,12.9667,48.8333 12.9667,1950-1960,96
2400,107.1762937,44.36116189,8,1960,48.8333,12.9667,48.8333 12.9667,1950-1960,102
2496,124.0055729,25.74884621,9,1951,50.4167,10.3833,50.4167 10.3833,1950-1960,110
2076,111.1120843,132.710349,9,1952,50.4167,10.3833,50.4167 10.3833,1950-1960,109
2088,111.5423852,65.90647936,9,1953,50.4167,10.3833,50.4167 10.3833,1950-1960,99
2208,115.6038546,39.7638569,9,1954,50.4167,10.3833,50.4167 10.3833,1950-1960,120
1692,98.61543518,106.8521531,9,1955,50.4167,10.3833,50.4167 10.3833,1950-1960,122
1980,100.0794849,59.41182166,9,1956,50.4167,10.3833,50.4167 10.3833,1950-1960,123
2688,127.5490371,79.07048294,9,1957,50.4167,10.3833,50.4167 10.3833,1950-1960,112
1980,105.9699367,59.87803633,9,1958,50.4167,10.3833,50.4167 10.3833,1950-1960,123
2556,116.210001,102.3434488,9,1959,50.4167,10.3833,50.4167 10.3833,1950-1960,105
2484,112.3120398,57.31974532,9,1960,50.4167,10.3833,50.4167 10.3833,1950-1960,101
1968,111.1877482,44.31086985,10,1951,48.5833,12.1833,48.5833 12.1833,1950-1960,111
2160,111.0344264,92.61253584,10,1952,48.5833,12.1833,48.5833 12.1833,1950-1960,108
1680,101.2763736,80.26711023,10,1953,48.5833,12.1833,48.5833 12.1833,1950-1960,111
2064,109.286904,51.81741041,10,1954,48.5833,12.1833,48.5833 12.1833,1950-1960,119
1692,99.52404944,101.6704524,10,1955,48.5833,12.1833,48.5833 12.1833,1950-1960,121
1992,100.9498287,68.78334641,10,1956,48.5833,12.1833,48.5833 12.1833,1950-1960,120
2616,129.23234,76.27076855,10,1957,48.5833,12.1833,48.5833 12.1833,1950-1960,104
1860,106.4502788,41.70997949,10,1958,48.5833,12.1833,48.5833 12.1833,1950-1960,120
2448,112.9792833,42.39837099,10,1959,48.5833,12.1833,48.5833 12.1833,1950-1960,95
2400,110.2805964,49.80211193,10,1960,48.5833,12.1833,48.5833 12.1833,1950-1960,100
2052,114.7334956,36.67275464,11,1951,49.1667,11.45,49.1667 11.45,1950-1960,111
2100,106.9442044,100.9658106,11,1952,49.1667,11.45,49.1667 11.45,1950-1960,108
1908,104.4250433,57.44370242,11,1953,49.1667,11.45,49.1667 11.45,1950-1960,100
2148,110.8735674,44.20543833,11,1954,49.1667,11.45,49.1667 11.45,1950-1960,121
1668,99.35748696,87.85177908,11,1955,49.1667,11.45,49.1667 11.45,1950-1960,120
1968,101.9018018,64.20391942,11,1956,49.1667,11.45,49.1667 11.45,1950-1960,126
2640,124.2189202,72.78972992,11,1957,49.1667,11.45,49.1667 11.45,1950-1960,109
2004,108.3904386,76.96661799,11,1958,49.1667,11.45,49.1667 11.45,1950-1960,127
2424,115.2689491,63.90864558,11,1959,49.1667,11.45,49.1667 11.45,1950-1960,102
2412,113.5570284,56.69249865,11,1960,49.1667,11.45,49.1667 11.45,1950-1960,106
2868,131.0021097,34.37622806,12,1951,51.2833,9.63333,51.2833 9.63333,1950-1960,111
2340,118.5426962,62.33509754,12,1952,51.2833,9.63333,51.2833 9.63333,1950-1960,103
2544,118.776866,36.37867389,12,1953,51.2833,9.63333,51.2833 9.63333,1950-1960,89
2556,121.1076017,40.79737785,12,1954,51.2833,9.63333,51.2833 9.63333,1950-1960,120
1824,105.8037476,86.090132,12,1955,51.2833,9.63333,51.2833 9.63333,1950-1960,120
2232,107.6213696,54.50485799,12,1956,51.2833,9.63333,51.2833 9.63333,1950-1960,122
2916,137.7693684,68.26934449,12,1957,51.2833,9.63333,51.2833 9.63333,1950-1960,100
2232,115.6320471,47.43721711,12,1958,51.2833,9.63333,51.2833 9.63333,1950-1960,121
2844,126.1308018,57.95032664,12,1959,51.2833,9.63333,51.2833 9.63333,1950-1960,95
2604,122.4157664,29.47942628,12,1960,51.2833,9.63333,51.2833 9.63333,1950-1960,96
3216,137.1976547,44.92585909,13,1951,51.8333,7.3,51.8333 7.3,1950-1960,112
2844,132.9850967,98.97768729,13,1952,51.8333,7.3,51.8333 7.3,1950-1960,104
2724,121.1250048,46.97226056,13,1953,51.8333,7.3,51.8333 7.3,1950-1960,97
2580,122.1449105,61.46282135,13,1954,51.8333,7.3,51.8333 7.3,1950-1960,112
1920,110.4410569,72.86052229,13,1955,51.8333,7.3,51.8333 7.3,1950-1960,116
2172,109.0599073,60.11998799,13,1956,51.8333,7.3,51.8333 7.3,1950-1960,117
3144,140.0297293,101.7570661,13,1957,51.8333,7.3,51.8333 7.3,1950-1960,95
2340,115.4544527,55.47002026,13,1958,51.8333,7.3,51.8333 7.3,1950-1960,115
2544,121.2955575,89.41010668,13,1959,51.8333,7.3,51.8333 7.3,1950-1960,96
2748,128.5323075,79.11498973,13,1960,51.8333,7.3,51.8333 7.3,1950-1960,98
2532,125.1012334,24.88449995,14,1951,50.75,9.46667,50.75 9.46667,1950-1960,112
2160,108.8660349,105.06214,14,1952,50.75,9.46667,50.75 9.46667,1950-1960,108
2244,110.5593621,74.34380823,14,1953,50.75,9.46667,50.75 9.46667,1950-1960,108
2256,116.8961352,81.36573967,14,1954,50.75,9.46667,50.75 9.46667,1950-1960,130
1680,98.05291938,127.018142,14,1955,50.75,9.46667,50.75 9.46667,1950-1960,127
1992,101.9981844,60.3262838,14,1956,50.75,9.46667,50.75 9.46667,1950-1960,125
2796,130.9373364,106.2866254,14,1957,50.75,9.46667,50.75 9.46667,1950-1960,120
2100,107.2387522,150.5960327,14,1958,50.75,9.46667,50.75 9.46667,1950-1960,138
2676,119.9265074,105.1279156,14,1959,50.75,9.46667,50.75 9.46667,1950-1960,106
2532,118.3490576,80.09260304,14,1960,50.75,9.46667,50.75 9.46667,1950-1960,113
2760,129.8795782,60.47728342,15,1951,48.9833,9.58333,48.9833 9.58333,1950-1960,112
2388,122.0237214,84.23756892,15,1952,48.9833,9.58333,48.9833 9.58333,1950-1960,105
2124,108.1901316,66.50233037,15,1953,48.9833,9.58333,48.9833 9.58333,1950-1960,98
2496,122.092803,66.13715467,15,1954,48.9833,9.58333,48.9833 9.58333,1950-1960,122
1728,105.8466051,123.4183875,15,1955,48.9833,9.58333,48.9833 9.58333,1950-1960,121
2112,106.183434,87.16878547,15,1956,48.9833,9.58333,48.9833 9.58333,1950-1960,123
2664,125.9301501,78.15445746,15,1957,48.9833,9.58333,48.9833 9.58333,1950-1960,96
2220,110.2136956,75.73648754,15,1958,48.9833,9.58333,48.9833 9.58333,1950-1960,124
2520,119.2044284,103.7183428,15,1959,48.9833,9.58333,48.9833 9.58333,1950-1960,104
2604,125.4900655,84.19124672,15,1960,48.9833,9.58333,48.9833 9.58333,1950-1960,106
1980,109.122063,25.83009699,16,1951,49.3167,12.75,49.3167 12.75,1950-1960,113
1872,98.13059719,68.33817945,16,1952,49.3167,12.75,49.3167 12.75,1950-1960,106
1860,99.61429605,36.31771767,16,1953,49.3167,12.75,49.3167 12.75,1950-1960,95
1812,102.6065544,26.48868036,16,1954,49.3167,12.75,49.3167 12.75,1950-1960,120
1608,95.70215829,85.06793199,16,1955,49.3167,12.75,49.3167 12.75,1950-1960,121
1644,93.05933364,42.51806495,16,1956,49.3167,12.75,49.3167 12.75,1950-1960,122
2472,117.8653064,46.05461643,16,1957,49.3167,12.75,49.3167 12.75,1950-1960,103
1752,96.62800736,34.85526114,16,1958,49.3167,12.75,49.3167 12.75,1950-1960,123
2412,109.7913564,27.50303871,16,1959,49.3167,12.75,49.3167 12.75,1950-1960,94
2364,109.2032916,33.09080244,16,1960,49.3167,12.75,49.3167 12.75,1950-1960,102
2988,134.8940846,60.01640183,17,1951,49.7167,10.2167,49.7167 10.2167,1950-1960,113
2304,119.1254588,85.93928646,17,1952,49.7167,10.2167,49.7167 10.2167,1950-1960,104
2172,110.6150876,85.56468126,17,1953,49.7167,10.2167,49.7167 10.2167,1950-1960,101
2304,118.7890812,62.60327905,17,1954,49.7167,10.2167,49.7167 10.2167,1950-1960,118
1764,101.6431965,91.94332567,17,1955,49.7167,10.2167,49.7167 10.2167,1950-1960,118
2040,102.0815195,62.63306594,17,1956,49.7167,10.2167,49.7167 10.2167,1950-1960,115
2652,129.5959649,90.83070933,17,1957,49.7167,10.2167,49.7167 10.2167,1950-1960,103
2220,111.7614733,80.64392471,17,1958,49.7167,10.2167,49.7167 10.2167,1950-1960,123
2568,118.5259538,115.542031,17,1959,49.7167,10.2167,49.7167 10.2167,1950-1960,104
2508,123.1088065,74.90898706,17,1960,49.7167,10.2167,49.7167 10.2167,1950-1960,100
1764,103.691775,34.84675934,18,1951,48.75,13.5167,48.75 13.5167,1950-1960,114
1872,96.69353356,86.88543458,18,1952,48.75,13.5167,48.75 13.5167,1950-1960,109
1608,91.57498169,57.80658868,18,1953,48.75,13.5167,48.75 13.5167,1950-1960,100
1836,98.88578657,75.56490854,18,1954,48.75,13.5167,48.75 13.5167,1950-1960,131
1644,93.88815564,73.83010138,18,1955,48.75,13.5167,48.75 13.5167,1950-1960,121
1536,89.45426272,54.08171333,18,1956,48.75,13.5167,48.75 13.5167,1950-1960,120
2520,118.3113482,55.5406121,18,1957,48.75,13.5167,48.75 13.5167,1950-1960,110
1548,89.29834356,90.88266485,18,1958,48.75,13.5167,48.75 13.5167,1950-1960,129
2220,105.9743474,88.19557269,18,1959,48.75,13.5167,48.75 13.5167,1950-1960,107
2352,109.2446556,39.83887808,18,1960,48.75,13.5167,48.75 13.5167,1950-1960,102
2820,130.5782846,57.93521017,19,1951,51.5833,9.3,51.5833 9.3,1950-1960,115
2364,116.7329434,118.2959333,19,1952,51.5833,9.3,51.5833 9.3,1950-1960,107
2556,120.381909,59.19199348,19,1953,51.5833,9.3,51.5833 9.3,1950-1960,98
2448,121.2196039,65.04847719,19,1954,51.5833,9.3,51.5833 9.3,1950-1960,125
1884,103.7942985,110.4348892,19,1955,51.5833,9.3,51.5833 9.3,1950-1960,124
2232,108.4874533,56.97175987,19,1956,51.5833,9.3,51.5833 9.3,1950-1960,121
2940,138.7168343,71.07772841,19,1957,51.5833,9.3,51.5833 9.3,1950-1960,105
2196,115.6570177,79.80085187,19,1958,51.5833,9.3,51.5833 9.3,1950-1960,126
2688,126.0638003,105.8106752,19,1959,51.5833,9.3,51.5833 9.3,1950-1960,105
2580,124.2067463,71.00181109,19,1960,51.5833,9.3,51.5833 9.3,1950-1960,104
1896,106.2986758,33.20817223,20,1951,50,12.0833,50 12.0833,1950-1960,115
1836,96.95029447,21.42369956,20,1952,50,12.0833,50 12.0833,1950-1960,101
2040,102.2183743,80.6953481,20,1953,50,12.0833,50 12.0833,1950-1960,118
1956,102.6483524,13.09754029,20,1954,50,12.0833,50 12.0833,1950-1960,94
1620,95.17541686,77.06639384,20,1955,50,12.0833,50 12.0833,1950-1960,122
1692,92.62067585,67.32876404,20,1956,50,12.0833,50 12.0833,1950-1960,129
2472,118.9002623,28.99839525,20,1957,50,12.0833,50 12.0833,1950-1960,88
1860,100.7974826,30.62769196,20,1958,50,12.0833,50 12.0833,1950-1960,124
2412,113.1383291,45.76006603,20,1959,50,12.0833,50 12.0833,1950-1960,103
2352,106.364941,56.47048414,20,1960,50,12.0833,50 12.0833,1950-1960,115
2508,126.5843663,64.62320087,21,1951,49.3333,10.8,49.3333 10.8,1950-1960,115
2148,113.5401597,160.3271151,21,1952,49.3333,10.8,49.3333 10.8,1950-1960,112
2028,106.1374865,77.27705079,21,1953,49.3333,10.8,49.3333 10.8,1950-1960,103
2220,116.160492,67.4243165,21,1954,49.3333,10.8,49.3333 10.8,1950-1960,124
1584,99.43302533,119.0914779,21,1955,49.3333,10.8,49.3333 10.8,1950-1960,121
1992,102.2210794,100.9792487,21,1956,49.3333,10.8,49.3333 10.8,1950-1960,128
2652,126.8010357,127.4094471,21,1957,49.3333,10.8,49.3333 10.8,1950-1960,118
2136,112.3187351,143.074366,21,1958,49.3333,10.8,49.3333 10.8,1950-1960,130
2688,118.9097718,104.591556,21,1959,49.3333,10.8,49.3333 10.8,1950-1960,105
2508,119.4981773,91.64945771,21,1960,49.3333,10.8,49.3333 10.8,1950-1960,110
2256,121.7027808,62.78416914,22,1951,49.4,11.4,49.4 11.4,1950-1960,115
2064,108.0706684,126.9311459,22,1952,49.4,11.4,49.4 11.4,1950-1960,109
1932,102.6843386,69.81003857,22,1953,49.4,11.4,49.4 11.4,1950-1960,96
2064,112.2404003,63.26670593,22,1954,49.4,11.4,49.4 11.4,1950-1960,126
1656,97.19032355,133.0970307,22,1955,49.4,11.4,49.4 11.4,1950-1960,124
1860,99.45337309,96.88512436,22,1956,49.4,11.4,49.4 11.4,1950-1960,128
2592,124.2934466,88.96574865,22,1957,49.4,11.4,49.4 11.4,1950-1960,113
1992,106.4194713,64.09741718,22,1958,49.4,11.4,49.4 11.4,1950-1960,125
2400,113.7525406,97.57433857,22,1959,49.4,11.4,49.4 11.4,1950-1960,104
2340,113.8539217,68.20942853,22,1960,49.4,11.4,49.4 11.4,1950-1960,107
2184,118.7798832,78.87998692,23,1951,48.4833,10.6667,48.4833 10.6667,1950-1960,115
2316,114.241412,43.26837926,23,1952,48.4833,10.6667,48.4833 10.6667,1950-1960,101
1788,103.600402,81.4110463,23,1953,48.4833,10.6667,48.4833 10.6667,1950-1960,106
2100,116.7909415,39.4284064,23,1954,48.4833,10.6667,48.4833 10.6667,1950-1960,114
1776,101.7566928,55.14454641,23,1955,48.4833,10.6667,48.4833 10.6667,1950-1960,112
2004,103.2538601,58.57462126,23,1956,48.4833,10.6667,48.4833 10.6667,1950-1960,113
2604,125.2218157,90.52607939,23,1957,48.4833,10.6667,48.4833 10.6667,1950-1960,110
1992,107.0949695,33.37667013,23,1958,48.4833,10.6667,48.4833 10.6667,1950-1960,115
2328,114.1017499,124.6161841,23,1959,48.4833,10.6667,48.4833 10.6667,1950-1960,110
2484,118.7087549,104.6570265,23,1960,48.4833,10.6667,48.4833 10.6667,1950-1960,116
1860,106.1919387,52.93863206,24,1951,49.3833,12.7167,49.3833 12.7167,1950-1960,116
1824,97.05856472,89.62482772,24,1952,49.3833,12.7167,49.3833 12.7167,1950-1960,108
1812,97.91015449,41.80117815,24,1953,49.3833,12.7167,49.3833 12.7167,1950-1960,94
1812,102.9280848,36.79340358,24,1954,49.3833,12.7167,49.3833 12.7167,1950-1960,122
1584,95.8191096,104.6239166,24,1955,49.3833,12.7167,49.3833 12.7167,1950-1960,124
1584,91.99534349,54.23419272,24,1956,49.3833,12.7167,49.3833 12.7167,1950-1960,126
2472,117.5777971,48.97739661,24,1957,49.3833,12.7167,49.3833 12.7167,1950-1960,104
1812,98.69559643,51.5359559,24,1958,49.3833,12.7167,49.3833 12.7167,1950-1960,126
2340,109.1480365,42.62917963,24,1959,49.3833,12.7167,49.3833 12.7167,1950-1960,96
2352,109.1566552,42.11257317,24,1960,49.3833,12.7167,49.3833 12.7167,1950-1960,108
2076,111.1960094,45.86088594,25,1951,50.3167,11.9167,50.3167 11.9167,1950-1960,116
1860,97.63999717,52.59081033,25,1952,50.3167,11.9167,50.3167 11.9167,1950-1960,104
2052,106.4623025,50.40405747,25,1953,50.3167,11.9167,50.3167 11.9167,1950-1960,105
1968,103.9508262,24.5367737,25,1954,50.3167,11.9167,50.3167 11.9167,1950-1960,124
1656,94.5721788,75.42015229,25,1955,50.3167,11.9167,50.3167 11.9167,1950-1960,121
1704,94.06765932,28.49464711,25,1956,50.3167,11.9167,50.3167 11.9167,1950-1960,125
2496,118.7419479,38.23635211,25,1957,50.3167,11.9167,50.3167 11.9167,1950-1960,108
1860,98.9968418,85.15909994,25,1958,50.3167,11.9167,50.3167 11.9167,1950-1960,130
2568,118.6388332,76.77308875,25,1959,50.3167,11.9167,50.3167 11.9167,1950-1960,106
2352,105.6814531,45.01098689,25,1960,50.3167,11.9167,50.3167 11.9167,1950-1960,121
2988,134.8940846,90.99859831,26,1951,49.7,10.0167,49.7 10.0167,1950-1960,116
2304,119.1254588,196.5018498,26,1952,49.7,10.0167,49.7 10.0167,1950-1960,115
2172,110.6150876,91.92347876,26,1953,49.7,10.0167,49.7 10.0167,1950-1960,102
2304,118.7890812,62.60327905,26,1954,49.7,10.0167,49.7 10.0167,1950-1960,118
1764,101.6431965,145.6986626,26,1955,49.7,10.0167,49.7 10.0167,1950-1960,121
2040,102.0815195,67.59872735,26,1956,49.7,10.0167,49.7 10.0167,1950-1960,117
2652,129.5959649,88.44502115,26,1957,49.7,10.0167,49.7 10.0167,1950-1960,96
2220,111.7614733,62.01601283,26,1958,49.7,10.0167,49.7 10.0167,1950-1960,121
2568,118.5259538,86.84348579,26,1959,49.7,10.0167,49.7 10.0167,1950-1960,98
2508,123.1088065,67.56390145,26,1960,49.7,10.0167,49.7 10.0167,1950-1960,99
2892,133.0981737,83.91428244,27,1951,49.4667,9.58333,49.4667 9.58333,1950-1960,116
2364,120.9702932,66.52880148,27,1952,49.4667,9.58333,49.4667 9.58333,1950-1960,103
2364,111.7435068,46.39430984,27,1953,49.4667,9.58333,49.4667 9.58333,1950-1960,93
2436,122.8741761,75.31852803,27,1954,49.4667,9.58333,49.4667 9.58333,1950-1960,124
1704,103.5579781,134.710418,27,1955,49.4667,9.58333,49.4667 9.58333,1950-1960,122
2088,105.4404211,82.71923986,27,1956,49.4667,9.58333,49.4667 9.58333,1950-1960,123
2640,129.6426241,85.52524554,27,1957,49.4667,9.58333,49.4667 9.58333,1950-1960,108
2328,111.7132713,70.39670188,27,1958,49.4667,9.58333,49.4667 9.58333,1950-1960,123
2724,120.9025894,113.2382402,27,1959,49.4667,9.58333,49.4667 9.58333,1950-1960,105
2700,126.8553743,106.2650811,27,1960,49.4667,9.58333,49.4667 9.58333,1950-1960,111
2124,117.5487834,78.3406971,28,1951,49.5333,11.6833,49.5333 11.6833,1950-1960,117
2028,104.8051439,124.2586198,28,1952,49.5333,11.6833,49.5333 11.6833,1950-1960,109
1932,103.1376533,84.98975831,28,1953,49.5333,11.6833,49.5333 11.6833,1950-1960,106
2064,108.8202575,54.36915853,28,1954,49.5333,11.6833,49.5333 11.6833,1950-1960,127
1728,97.46089495,83.3146187,28,1955,49.5333,11.6833,49.5333 11.6833,1950-1960,120
1896,98.72713085,53.73890108,28,1956,49.5333,11.6833,49.5333 11.6833,1950-1960,125
2544,120.4477642,71.11227399,28,1957,49.5333,11.6833,49.5333 11.6833,1950-1960,111
1968,104.7059562,62.20486196,28,1958,49.5333,11.6833,49.5333 11.6833,1950-1960,126
2436,114.0436131,61.11983266,28,1959,49.5333,11.6833,49.5333 11.6833,1950-1960,102
2388,111.3188164,72.56415263,28,1960,49.5333,11.6833,49.5333 11.6833,1950-1960,110
1908,106.135084,86.20829803,29,1951,48.8833,12.6,48.8833 12.6,1950-1960,117
1944,103.0486227,92.42818848,29,1952,48.8833,12.6,48.8833 12.6,1950-1960,107
1572,96.42128992,64.1975927,29,1953,48.8833,12.6,48.8833 12.6,1950-1960,100
1884,106.2667146,43.38093138,29,1954,48.8833,12.6,48.8833 12.6,1950-1960,114
1596,97.15802667,102.7421764,29,1955,48.8833,12.6,48.8833 12.6,1950-1960,121
1788,94.69480812,46.46971706,29,1956,48.8833,12.6,48.8833 12.6,1950-1960,110
2520,121.3419816,73.56092518,29,1957,48.8833,12.6,48.8833 12.6,1950-1960,105
1644,95.6866256,39.61806842,29,1958,48.8833,12.6,48.8833 12.6,1950-1960,118
2220,105.4266635,51.76462513,29,1959,48.8833,12.6,48.8833 12.6,1950-1960,95
2316,108.0560238,49.4127774,29,1960,48.8833,12.6,48.8833 12.6,1950-1960,100
2052,114.7334956,76.16460165,30,1951,49.0333,11.4833,49.0333 11.4833,1950-1960,118
2100,106.9442044,109.3134766,30,1952,49.0333,11.4833,49.0333 11.4833,1950-1960,109
1908,104.4250433,103.3678877,30,1953,49.0333,11.4833,49.0333 11.4833,1950-1960,115
2148,110.8735674,109.5003602,30,1954,49.0333,11.4833,49.0333 11.4833,1950-1960,133
1668,99.35748696,142.8821376,30,1955,49.0333,11.4833,49.0333 11.4833,1950-1960,127
1968,101.9018018,98.82367289,30,1956,49.0333,11.4833,49.0333 11.4833,1950-1960,129
2640,124.2189202,122.0752248,30,1957,49.0333,11.4833,49.0333 11.4833,1950-1960,121
2004,108.3904386,52.50322854,30,1958,49.0333,11.4833,49.0333 11.4833,1950-1960,124
2424,115.2689491,101.7817604,30,1959,49.0333,11.4833,49.0333 11.4833,1950-1960,106
2412,113.5570284,91.00077764,30,1960,49.0333,11.4833,49.0333 11.4833,1950-1960,114
