"datasetID","genus","species","provenance.lat","provenance.long","prov","sample","force","photo","chill","spp"
"basler12","Sorbus","aucuparia",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Sorbus","aucuparia",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Abies","alba",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Abies","alba",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Quercus","petraea",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Quercus","petraea",46.85,9.53,2,"1","1","2",2,"15"
"charrier11","Juglans","spp",45.7722,3.14722,2,"2","5","1",1,"1"
"charrier11","Juglans","spp",45.71944444,3.016666667,2,"2","5","1",1,"1"
"heide93a","Fagus","sylvatica",59.67,10.83,4,"7","3","6",8,"2"
"heide93a","Fagus","sylvatica",47.5,7.6,4,"7","3","6",8,"2"
"heide93a","Fagus","sylvatica",49.3,22.5,4,"7","3","6",8,"2"
"heide93a","Fagus","sylvatica",55.75,12.5,4,"7","3","6",8,"2"
"karlsson03","Betula","occidentalis",68.34,18.832,2,"5","3","1",10,"1"
"karlsson03","Betula","occidentalis",69.75,27.02,2,"5","3","1",10,"1"
"myking95","Betula","pubescens",64,11.5,3,"1","1","2",5,"2"
"myking95","Betula","pendula",64,11.5,3,"1","1","2",5,"2"
"myking95","Betula","pubescens",56.1,9.15,3,"1","1","2",5,"2"
"myking95","Betula","pubescens",69,18.6,3,"1","1","2",5,"2"
"myking95","Betula","pendula",56.1,9.15,3,"1","1","2",5,"2"
"myking95","Betula","pendula",69,18.6,3,"1","1","2",5,"2"
"nienstaedt66","Picea","abies",53,60,2,"1","1","2",5,"7"
"nienstaedt66","Picea","abies",47.5,13,2,"1","1","2",5,"7"
"pagter15","Ribes","nigrum",59.35,18.067,2,"4","1","1",5,"1"
"pagter15","Ribes","nigrum",64,11.5,2,"4","1","1",5,"1"
"partanen98","Picea","abies",60.03333,23.05,3,"4","3","10",7,"1"
"partanen98","Picea","abies",64.85,29.583,3,"4","3","10",7,"1"
"partanen98","Picea","abies",60.35,24.983,3,"4","3","10",7,"1"
"skre08","Betula","pubescens",59.75,9.46667,5,"2","1","1",3,"1"
"skre08","Betula","pubescens",64.517928,21.892008,5,"2","1","1",3,"1"
"skre08","Betula","pubescens",68.50121,14.800709,5,"2","1","1",3,"1"
"skre08","Betula","pubescens",69.45,27,5,"2","1","1",3,"1"
"skre08","Betula","pubescens",70.66667,23.68333,5,"2","1","1",3,"1"
"sonsteby14","Ribes","nigrum",56.5,-3.062,5,"5","2","1",17,"1"
"sonsteby14","Ribes","nigrum",59.666,10.792,5,"5","2","1",17,"1"
"sonsteby14","Ribes","nigrum",67.5,33.38,5,"5","2","1",17,"1"
"sonsteby14","Ribes","nigrum",65.3426,21.397,5,"5","2","1",17,"1"
"sonsteby14","Ribes","nigrum",51.966,20.154,5,"5","2","1",17,"1"
