"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Latitude","Longitude","Number of Leaves per plant","Plant developmental status / plant age / maturity / plant life stage","Plant height vegetative","Stem diameter at base (basal diameter)","Treatment exposition"
"50","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651086,"38.43","-81.83","2","juvenile","5.2","1","natural environment"
"51","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651087,"38.43","-81.83","3","juvenile","7","1.1","natural environment"
"52","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651113,"38.43","-81.83","2","juvenile","5.5","1","natural environment"
"53","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651115,"38.43","-81.83","4","juvenile","3.7","0.9","natural environment"
"54","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651171,"38.43","-81.83","4","juvenile","5.5","1.1","natural environment"
"55","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651178,"38.43","-81.83","2","juvenile","3.8","0.8","natural environment"
"56","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651210,"38.43","-81.83","2","juvenile","4.4","1.1","natural environment"
"57","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651219,"38.43","-81.83","2","juvenile","2.8","0.6","natural environment"
"58","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651220,"38.43","-81.83","2","juvenile","4.1","0.8","natural environment"
"59","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651221,"38.43","-81.83","2","juvenile","6.6","1","natural environment"
"60","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651231,"38.43","-81.83","2","juvenile","3.2","0.4","natural environment"
"61","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651232,"38.43","-81.83","2","juvenile","2.6","0.7","natural environment"
"62","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651235,"38.43","-81.83","2","juvenile","4.1","0.9","natural environment"
"63","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651245,"38.43","-81.83","2","juvenile","4.7","1.2","natural environment"
"64","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651288,"38.43","-81.83","4","juvenile","3.8","0.9","natural environment"
"65","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651298,"38.43","-81.83","2","juvenile","5.8","1.3","natural environment"
"66","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651305,"38.43","-81.83","2","juvenile","8","0.8","natural environment"
"67","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651330,"38.43","-81.83","3","juvenile","7.8","1","natural environment"
"68","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651347,"38.43","-81.83","2","juvenile","7.7","1.5","natural environment"
"69","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651348,"38.43","-81.83","2","juvenile","8.2","1","natural environment"
"70","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651353,"38.43","-81.83","3","juvenile","5.7","1.4","natural environment"
"71","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651357,"38.43","-81.83","4","juvenile","7.3","1.5","natural environment"
"72","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651358,"38.43","-81.83","4","juvenile","10","2.4","natural environment"
"73","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651359,"38.43","-81.83","4","juvenile","9.2","1.3","natural environment"
"74","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651362,"38.43","-81.83",NA,"juvenile","6.3","1.1","natural environment"
"75","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651367,"38.43","-81.83","4","juvenile","8","0.9","natural environment"
"76","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651379,"38.43","-81.83",NA,"juvenile",NA,"0.9","natural environment"
"77","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651397,"38.43","-81.83","2","juvenile","8.1","0.9","natural environment"
"78","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651401,"38.43","-81.83","2","juvenile","7.5","1.1","natural environment"
"79","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651406,"38.43","-81.83","4","juvenile","7.7","1","natural environment"
"80","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651423,"38.43","-81.83","2","juvenile","6.3","0.9","natural environment"
"81","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651424,"38.43","-81.83","2","juvenile","4.5","0.7","natural environment"
"82","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651428,"38.43","-81.83","2","juvenile","3.5","0.7","natural environment"
"83","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651443,"38.43","-81.83","2","juvenile","6.8","0.8","natural environment"
"84","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651468,"38.43","-81.83","2","juvenile","7.1","1","natural environment"
"85","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651492,"38.43","-81.83","4","juvenile","5.3","1","natural environment"
"86","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651509,"38.43","-81.83","4","juvenile","5.6","0.9","natural environment"
"87","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651512,"38.43","-81.83","4","juvenile","5.2","0.9","natural environment"
"88","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651519,"38.43","-81.83","2","juvenile","3.3","0.7","natural environment"
"89","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651521,"38.43","-81.83","4","juvenile","9.1","1.1","natural environment"
"90","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Hamamalis virginiana",1651444,"38.43","-81.83",NA,"juvenile",NA,"1.5","natural environment"
"91","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Hamamalis virginiana",1651540,"38.43","-81.83",NA,"juvenile",NA,"1.7","natural environment"
"92","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Hamamelis virginiana",1650757,"38.43","-81.83",NA,"juvenile",NA,"1.8","natural environment"
"93","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Hamamelis virginiana",1650763,"38.43","-81.83",NA,"juvenile",NA,"1.4","natural environment"
"94","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Hamamelis virginiana",1650767,"38.43","-81.83",NA,"juvenile",NA,"1.5","natural environment"
"95","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Hamamelis virginiana",1650828,"38.43","-81.83",NA,"juvenile",NA,"2.4","natural environment"
"96","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Robinia pseudoacacia",1650465,"38.43","-81.83",NA,"juvenile",NA,"1.2","natural environment"
"97","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Robinia pseudoacacia",1650472,"38.43","-81.83",NA,"juvenile",NA,"1.4","natural environment"
"98","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Robinia pseudoacacia",1650699,"38.43","-81.83","4","juvenile","4.5","1.3","natural environment"
"99","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Robinia pseudoacacia",1650709,"38.43","-81.83","5","juvenile","4","1.1","natural environment"
"100","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Robinia pseudoacacia",1650736,"38.43","-81.83","4","juvenile","7.6","1","natural environment"
"101","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Robinia pseudoacacia",1650803,"38.43","-81.83","3","juvenile","3.4","0.9","natural environment"
"102","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Robinia pseudoacacia",1650804,"38.43","-81.83","4","juvenile","2.6","1.2","natural environment"
"103","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Robinia pseudoacacia",1651202,"38.43","-81.83","6","juvenile","9.6","1.2","natural environment"
