FirstAuthor,Year,Title,Journal,WhoAdded,WhoAssigned,TakeHome,RelevancetoOurPaper,AddNotes
Rafferty,2017,A global test for phylogenetic signal in shifts in flowering time under climate change,J Ecol,Nacho,Lizzie,"Signal in flowing shift (which is just a binned version of slope), but not slope so not sure on signal overall (trust molecular tree results; I recommend ignoring phylomatic results); OU models fit better","Mid-cited a lot so worth mentioning, but does lots of dodgey things so be sure to read carefully.",
CaraDonna,2015,Phenological responses to climate change do not exhibit phylogenetic signal in a subalpine plant community,Ecology,Nacho,,,,
Davis,2010,The importance of phylogeny to the study of phenological response to global climate change,Phil Trans,Nacho,,,,
Du,2015,Phylogenetic constraints and trait correlates of flowering phenology in the angiosperm flora of C hina,GEB,Nacho,,,,
Diamond,2011,Species' traits predict phenological responses to climate change in butterflies,Ecology,Nacho,,,Little relevance,
Lessard-Therrien,2014,A phylogenetic comparative study of flowering phenology along an elevational gradient in the Canadian subarctic,Int J Biometeorol,Nacho,,,,
Usui,2017,Temporal shifts and temperature sensitivity of avian spring migratory phenology: A phylogenetic meta?analysis,JAE,Nacho,,,,
Molnár,2012,Pollination mode predicts phenological response to climate change in terrestrial orchids: a case study from central E urope,J Ecol,Nacho,,,,
Staggemeier,2010,The shared influence of phylogeny and ecology on the reproductive patterns of Myrteae (Myrtaceae),J Ecol,Nacho,,,,
Cortés-Flores,2017,"Flowering phenology, growth forms, and pollination syndromes in tropical dry forest species: Influence of phylogeny and abiotic factors",Am J Bot,Nacho,,,,
Du,2017,Phylogenetic conservatism and trait correlates of spring phenological responses to climate change in northeast China,Ecol Evol,Nacho,,,,
Li,2016,Phylogenetic conservatism and climate factors shape flowering phenology in alpine meadows,Oecologia,Nacho,,,,
Brito,2017,Reproductive phenology of Melastomataceae species with contrasting reproductive systems: contemporary and historical drivers,Plant Bio,Nacho,,,,
Gallinat,2018,Herbarium specimens show patterns of fruiting phenology in native and invasive plant species across New England,Am J Bot,Nacho,,,,
Kurten,2018,Phenology of a dipterocarp forest with seasonal drought: Insights into the origin of general flowering,J Ecol,Nacho,,,,
Hart,2016,Fast and Cheap in the Fall: Phylogenetic determinants of late flowering phenologies in Himalayan Rhododendron,Am J Bot,Nacho,,,,
Fridley,2015,Contrasting growth phenology of native and invasive forest shrubs mediated by genome size,New Phyt,Nacho,,,,
Cleland,2012,Phenological tracking enables positive species responses to climate change,Ecology,Nacho,,,,
Cortés-Flores,2019,"Phylogeny, fruit traits, and ecological correlates of fruiting phenology in a Neotropical dry forest",Oecologia,Nacho,,,,
Pearse,2017,"Macroevolutionary constraints to tolerance: trade?offs with drought tolerance and phenology, but not resistance",Ecology,Nacho,,,,
Daru,2019,Temperature controls phenology in continuously flowering Protea species of subtropical Africa,Apps Plant Sci,Nacho,,,,
Quintero,2014,Asynchrony of seasons: genetic differentiation associated with geographic variation in climatic seasonality and reproductive phenology,Am Nat,Nacho,,,,
Zohner,2017,Innately shorter vegetation periods in North American species explain native–non-native phenological asymmetries,NEE,Nacho,,,,
Zohner,2016,Day length unlikely to constrain climate-driven shifts in leaf-out times of northern woody plants,NCC,Nacho,,,,
Panchen,2014,"Leaf out times of temperate woody plants are related to phylogeny, deciduousness, growth habit and wood anatomy",New Phyt,Nacho,,,,
Iler,2017,Detrending phenological time series improves climate–phenology analyses and reveals evidence of plasticity,Ecology,Nacho,,,,
