"","spps","datasetID","study","genus","species","varetc","woody","forcetemp","forcetemp_night","photoperiod_day","response","response.time","Total_Chilling_Hours","chilltemp","chilldays","fieldsample.date","provenance.lat","provenance.long","force","photo","chill","resp","force_type","photo_type","chill_type","chill.hrs","chill.ports","latbi","complex","force.z","photo.z","chill.z","phylo","crops","sppnum"
"1084","Carpinus_betulus","laube14a","exp1","Carpinus","betulus","","yes","7","","8","timeonly",37,1003,"","33","14-Dec-2011",48.403008,11.711811,7,8,3.61875,37,"ramped","exp","fldest",1003,51.6913728053825,"Carpinus_betulus",38,-1.44733216559024,-1.00803446073276,-0.426623959474744,"Carpinus_betulus","nocrop",24
"1085","Carpinus_betulus","laube14a","exp1","Carpinus","betulus","","yes","7","","12","timeonly",37,1003,"","33","14-Dec-2011",48.403008,11.711811,7,12,3.61875,37,"ramped","exp","fldest",1003,51.6913728053825,"Carpinus_betulus",38,-1.44733216559024,-0.242892681737139,-0.426623959474744,"Carpinus_betulus","nocrop",24
"1086","Carpinus_betulus","laube14a","exp1","Carpinus","betulus","","yes","7","","16","timeonly",35,1003,"","33","14-Dec-2011",48.403008,11.711811,7,16,3.61875,35,"ramped","exp","fldest",1003,51.6913728053825,"Carpinus_betulus",38,-1.44733216559024,0.522249097258486,-0.426623959474744,"Carpinus_betulus","nocrop",24
"1087","Carpinus_betulus","laube14a","exp1","Carpinus","betulus","","yes","7","","8","timeonly",21,1780,"","73","30-Jan-2012",48.403008,11.711811,7,8,5.82916666666667,21,"ramped","exp","fldest",1780,79.879632404017,"Carpinus_betulus",38,-1.44733216559024,-1.00803446073276,0.273250025621685,"Carpinus_betulus","nocrop",24
"1088","Carpinus_betulus","laube14a","exp1","Carpinus","betulus","","yes","7","","12","timeonly",23,1780,"","73","30-Jan-2012",48.403008,11.711811,7,12,5.82916666666667,23,"ramped","exp","fldest",1780,79.879632404017,"Carpinus_betulus",38,-1.44733216559024,-0.242892681737139,0.273250025621685,"Carpinus_betulus","nocrop",24
"1089","Carpinus_betulus","laube14a","exp1","Carpinus","betulus","","yes","7","","16","timeonly",20,1780,"","73","30-Jan-2012",48.403008,11.711811,7,16,5.82916666666667,20,"ramped","exp","fldest",1780,79.879632404017,"Carpinus_betulus",38,-1.44733216559024,0.522249097258486,0.273250025621685,"Carpinus_betulus","nocrop",24
"1090","Carpinus_betulus","vitra17","exp1","Carpinus","betulus",NA,"yes","20",NA,"9","timeonly",13.8901142857143,1557,"ambient","","29-Jan-2014",47.47,7.5,20,9,5.88541666666667,13.8901142857143,"exp","amb","fldest",1557,85.223536038142,"Carpinus_betulus",38,0.847497584245544,-0.816749015983857,0.291060202433752,"Carpinus_betulus","nocrop",24
"1091","Carpinus_betulus","vitra17","exp1","Carpinus","betulus",NA,"yes","20",NA,"9","timeonly",7.2088,2086,"ambient","","27-Feb-2014",47.47,7.5,20,9,7.70833333333333,7.2088,"exp","amb","fldest",2086,106.284931768086,"Carpinus_betulus",38,0.847497584245544,-0.816749015983857,0.868241858380383,"Carpinus_betulus","nocrop",24
"1092","Carpinus_betulus","vitra17","exp1","Carpinus","betulus",NA,"yes","20",NA,"9","timeonly",0,2235,"ambient","","05-Apr-2015",47.47,7.5,20,9,8.90416666666667,0,"exp","amb","fldest",2235,120.681360767575,"Carpinus_betulus",38,0.847497584245544,-0.816749015983857,1.24687302468137,"Carpinus_betulus","nocrop",24
"1093","Carpinus_betulus","vitra17","exp1","Carpinus","betulus",NA,"yes","20",NA,"9","timeonly",0,2760,"ambient","","01-May-2014",47.47,7.5,20,9,11.15625,0,"exp","amb","fldest",2760,149.095401454829,"Carpinus_betulus",38,0.847497584245544,-0.816749015983857,1.95993973334229,"Carpinus_betulus","nocrop",24
"1094","Carpinus_betulus","vitra17","exp1","Carpinus","betulus",NA,"yes","20",NA,"9","timeonly",0,2877,"ambient","","17-May-2014",47.47,7.5,20,9,12.0625,0,"exp","amb","fldest",2877,159.63164733639,"Carpinus_betulus",38,0.847497584245544,-0.816749015983857,2.24688147087005,"Carpinus_betulus","nocrop",24
"1095","Carpinus_betulus","zohner16","exp1","Carpinus","betulus","","yes","18","14","8","timeonly",45.516875,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,45.516875,"exp","exp","fldest",989,61.1148070881309,"Carpinus_betulus",38,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Carpinus_betulus","nocrop",24
"1096","Carpinus_betulus","zohner16","exp1","Carpinus","betulus","","yes","18","14","8","timeonly",29.4448125,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,29.4448125,"exp","exp","fldest",1831,95.3468886724268,"Carpinus_betulus",38,0.0237125458429542,-1.00803446073276,0.604387387090495,"Carpinus_betulus","nocrop",24
"1097","Carpinus_betulus","zohner16","exp1","Carpinus","betulus","","yes","18","14","16","timeonly",44.9375,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,44.9375,"exp","exp","fldest",989,61.1148070881309,"Carpinus_betulus",38,0.259079699672266,0.522249097258486,-0.164088760541305,"Carpinus_betulus","nocrop",24
"1098","Carpinus_betulus","zohner16","exp1","Carpinus","betulus","","yes","18","14","16","timeonly",27.1875,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,27.1875,"exp","exp","fldest",1831,95.3468886724268,"Carpinus_betulus",38,0.259079699672266,0.522249097258486,0.604387387090495,"Carpinus_betulus","nocrop",24
"1103","Carpinus_monbeigiana","zohner16","exp1","Carpinus","monbeigiana","","yes","18","14","8","timeonly",32.9601875,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,32.9601875,"exp","exp","fldest",989,61.1148070881309,"Carpinus_monbeigiana",40,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Carpinus_monbeigiana","nocrop",25
"1104","Carpinus_monbeigiana","zohner16","exp1","Carpinus","monbeigiana","","yes","18","14","8","timeonly",29.4448125,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,29.4448125,"exp","exp","fldest",1831,95.3468886724268,"Carpinus_monbeigiana",40,0.0237125458429542,-1.00803446073276,0.604387387090495,"Carpinus_monbeigiana","nocrop",25
"1105","Carpinus_monbeigiana","zohner16","exp1","Carpinus","monbeigiana","","yes","18","14","8","timeonly",36.24125,2380,"","","21-Mar-2014",48.16447,11.50293,15.3333333333333,8,9.26458333333333,36.24125,"exp","exp","fldest",2380,123.490985386386,"Carpinus_monbeigiana",40,0.0237125458429542,-1.00803446073276,1.36099008351425,"Carpinus_monbeigiana","nocrop",25
"1106","Carpinus_monbeigiana","zohner16","exp1","Carpinus","monbeigiana","","yes","18","14","16","timeonly",32.9375,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,32.9375,"exp","exp","fldest",989,61.1148070881309,"Carpinus_monbeigiana",40,0.259079699672266,0.522249097258486,-0.164088760541305,"Carpinus_monbeigiana","nocrop",25
"1107","Carpinus_monbeigiana","zohner16","exp1","Carpinus","monbeigiana","","yes","18","14","16","timeonly",28.125,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,28.125,"exp","exp","fldest",1831,95.3468886724268,"Carpinus_monbeigiana",40,0.259079699672266,0.522249097258486,0.604387387090495,"Carpinus_monbeigiana","nocrop",25
"1108","Carpinus_monbeigiana","zohner16","exp1","Carpinus","monbeigiana","","yes","18","14","16","timeonly",34.3125,2380,"","","21-Mar-2014",48.16447,11.50293,16.6666666666667,16,9.26458333333333,34.3125,"exp","exp","fldest",2380,123.490985386386,"Carpinus_monbeigiana",40,0.259079699672266,0.522249097258486,1.36099008351425,"Carpinus_monbeigiana","nocrop",25
"2419","Rosa_majalis","zohner16","exp1","Rosa","majalis","","yes","18","14","8","timeonly",12.375,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,12.375,"exp","exp","fldest",989,61.1148070881309,"Rosa_majalis",182,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Rosa_majalis","nocrop",26
"2420","Rosa_majalis","zohner16","exp1","Rosa","majalis","","yes","18","14","8","timeonly",13.375,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,13.375,"exp","exp","fldest",1831,95.3468886724268,"Rosa_majalis",182,0.0237125458429542,-1.00803446073276,0.604387387090495,"Rosa_majalis","nocrop",26
"2421","Rosa_majalis","zohner16","exp1","Rosa","majalis","","yes","18","14","8","timeonly",16.5625,2380,"","","21-Mar-2014",48.16447,11.50293,15.3333333333333,8,9.26458333333333,16.5625,"exp","exp","fldest",2380,123.490985386386,"Rosa_majalis",182,0.0237125458429542,-1.00803446073276,1.36099008351425,"Rosa_majalis","nocrop",26
"2422","Rosa_majalis","zohner16","exp1","Rosa","majalis","","yes","18","14","16","timeonly",12.1875,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,12.1875,"exp","exp","fldest",989,61.1148070881309,"Rosa_majalis",182,0.259079699672266,0.522249097258486,-0.164088760541305,"Rosa_majalis","nocrop",26
"2423","Rosa_majalis","zohner16","exp1","Rosa","majalis","","yes","18","14","16","timeonly",13.0625,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,13.0625,"exp","exp","fldest",1831,95.3468886724268,"Rosa_majalis",182,0.259079699672266,0.522249097258486,0.604387387090495,"Rosa_majalis","nocrop",26
"2424","Rosa_majalis","zohner16","exp1","Rosa","majalis","","yes","18","14","16","timeonly",16.625,2380,"","","21-Mar-2014",48.16447,11.50293,16.6666666666667,16,9.26458333333333,16.625,"exp","exp","fldest",2380,123.490985386386,"Rosa_majalis",182,0.259079699672266,0.522249097258486,1.36099008351425,"Rosa_majalis","nocrop",26
"2415","Rosa_hugonis","zohner16","exp1","Rosa","hugonis","","yes","18","14","8","timeonly",15.9375,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,15.9375,"exp","exp","fldest",989,61.1148070881309,"Rosa_hugonis",181,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Rosa_hugonis","nocrop",27
"2416","Rosa_hugonis","zohner16","exp1","Rosa","hugonis","","yes","18","14","8","timeonly",12.5,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,12.5,"exp","exp","fldest",1831,95.3468886724268,"Rosa_hugonis",181,0.0237125458429542,-1.00803446073276,0.604387387090495,"Rosa_hugonis","nocrop",27
"2417","Rosa_hugonis","zohner16","exp1","Rosa","hugonis","","yes","18","14","16","timeonly",14,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,14,"exp","exp","fldest",989,61.1148070881309,"Rosa_hugonis",181,0.259079699672266,0.522249097258486,-0.164088760541305,"Rosa_hugonis","nocrop",27
"2418","Rosa_hugonis","zohner16","exp1","Rosa","hugonis","","yes","18","14","16","timeonly",13.0625,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,13.0625,"exp","exp","fldest",1831,95.3468886724268,"Rosa_hugonis",181,0.259079699672266,0.522249097258486,0.604387387090495,"Rosa_hugonis","nocrop",27
"346","Aronia_melanocarpa","flynn18","exp1","Aronia","melanocarpa",NA,"yes","20","10","12","timeonly",14.25,949,"0","0","21-Jan-2015",42.531705,-72.18992,15,12,2.36041666666667,14.25,"exp","exp","bothest",949,60.337337283142,"Aronia_melanocarpa",25,-0.0351292426143737,-0.242892681737139,-0.825044211122475,"Aronia_melanocarpa","nocrop",28
"347","Aronia_melanocarpa","flynn18","exp1","Aronia","melanocarpa",NA,"yes","20","10","8","timeonly",26.66666667,949,"0","0","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,2.36041666666667,26.66666667,"exp","exp","bothest",949,60.337337283142,"Aronia_melanocarpa",25,-0.329338184901013,-1.00803446073276,-0.825044211122475,"Aronia_melanocarpa","nocrop",28
"348","Aronia_melanocarpa","flynn18","exp1","Aronia","melanocarpa",NA,"yes","15","5","8","timeonly",15.66666667,949,"0","0","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,2.36041666666667,15.66666667,"exp","exp","bothest",949,60.337337283142,"Aronia_melanocarpa",25,-1.21196501176093,-1.00803446073276,-0.825044211122475,"Aronia_melanocarpa","nocrop",28
"349","Aronia_melanocarpa","flynn18","exp1","Aronia","melanocarpa",NA,"yes","15","5","8","timeonly",41,949,"0","0","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,2.36041666666667,41,"exp","exp","bothest",949,60.337337283142,"Aronia_melanocarpa",25,-1.21196501176093,-1.00803446073276,-0.825044211122475,"Aronia_melanocarpa","nocrop",28
"350","Aronia_melanocarpa","flynn18","exp1","Aronia","melanocarpa",NA,"yes","20","10","8","timeonly",12.33333333,949,"0","0","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,2.36041666666667,12.33333333,"exp","exp","bothest",949,60.337337283142,"Aronia_melanocarpa",25,-0.329338184901013,-1.00803446073276,-0.825044211122475,"Aronia_melanocarpa","nocrop",28
"351","Aronia_melanocarpa","flynn18","exp1","Aronia","melanocarpa",NA,"yes","15","5","12","timeonly",12,949,"0","0","21-Jan-2015",42.531705,-72.18992,10,12,2.36041666666667,12,"exp","exp","bothest",949,60.337337283142,"Aronia_melanocarpa",25,-0.917756069474291,-0.242892681737139,-0.825044211122475,"Aronia_melanocarpa","nocrop",28
"352","Aronia_melanocarpa","flynn18","exp1","Aronia","melanocarpa",NA,"yes","15","5","12","timeonly",31,949,"0","0","21-Jan-2015",42.531705,-72.18992,10,12,2.36041666666667,31,"exp","exp","bothest",949,60.337337283142,"Aronia_melanocarpa",25,-0.917756069474291,-0.242892681737139,-0.825044211122475,"Aronia_melanocarpa","nocrop",28
"353","Aronia_melanocarpa","flynn18","exp1","Aronia","melanocarpa",NA,"yes","20","10","12","timeonly",20.66666667,949,"0","0","21-Jan-2015",42.531705,-72.18992,15,12,2.36041666666667,20.66666667,"exp","exp","bothest",949,60.337337283142,"Aronia_melanocarpa",25,-0.0351292426143737,-0.242892681737139,-0.825044211122475,"Aronia_melanocarpa","nocrop",28
"354","Aronia_melanocarpa","zohner16","exp1","Aronia","melanocarpa","","yes","18","14","8","timeonly",27.452,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,27.452,"exp","exp","fldest",989,61.1148070881309,"Aronia_melanocarpa",25,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Aronia_melanocarpa","nocrop",28
"355","Aronia_melanocarpa","zohner16","exp1","Aronia","melanocarpa","","yes","18","14","8","timeonly",20.5245625,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,20.5245625,"exp","exp","fldest",1831,95.3468886724268,"Aronia_melanocarpa",25,0.0237125458429542,-1.00803446073276,0.604387387090495,"Aronia_melanocarpa","nocrop",28
"356","Aronia_melanocarpa","zohner16","exp1","Aronia","melanocarpa","","yes","18","14","16","timeonly",20.4375,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,20.4375,"exp","exp","fldest",989,61.1148070881309,"Aronia_melanocarpa",25,0.259079699672266,0.522249097258486,-0.164088760541305,"Aronia_melanocarpa","nocrop",28
"357","Aronia_melanocarpa","zohner16","exp1","Aronia","melanocarpa","","yes","18","14","16","timeonly",19.625,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,19.625,"exp","exp","fldest",1831,95.3468886724268,"Aronia_melanocarpa",25,0.259079699672266,0.522249097258486,0.604387387090495,"Aronia_melanocarpa","nocrop",28
"1835","Photinia_villosa","zohner16","exp1","Photinia","villosa","","yes","18","14","8","timeonly",23.0199375,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,23.0199375,"exp","exp","fldest",989,61.1148070881309,"Photinia_villosa",126,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Photinia_villosa","nocrop",29
"1836","Photinia_villosa","zohner16","exp1","Photinia","villosa","","yes","18","14","8","timeonly",24.0626875,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,24.0626875,"exp","exp","fldest",1831,95.3468886724268,"Photinia_villosa",126,0.0237125458429542,-1.00803446073276,0.604387387090495,"Photinia_villosa","nocrop",29
"1837","Photinia_villosa","zohner16","exp1","Photinia","villosa","","yes","18","14","8","timeonly",28.977375,2380,"","","21-Mar-2014",48.16447,11.50293,15.3333333333333,8,9.26458333333333,28.977375,"exp","exp","fldest",2380,123.490985386386,"Photinia_villosa",126,0.0237125458429542,-1.00803446073276,1.36099008351425,"Photinia_villosa","nocrop",29
"1838","Photinia_villosa","zohner16","exp1","Photinia","villosa","","yes","18","14","16","timeonly",21.6875,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,21.6875,"exp","exp","fldest",989,61.1148070881309,"Photinia_villosa",126,0.259079699672266,0.522249097258486,-0.164088760541305,"Photinia_villosa","nocrop",29
"1839","Photinia_villosa","zohner16","exp1","Photinia","villosa","","yes","18","14","16","timeonly",23.625,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,23.625,"exp","exp","fldest",1831,95.3468886724268,"Photinia_villosa",126,0.259079699672266,0.522249097258486,0.604387387090495,"Photinia_villosa","nocrop",29
"1840","Photinia_villosa","zohner16","exp1","Photinia","villosa","","yes","18","14","16","timeonly",29.25,2380,"","","21-Mar-2014",48.16447,11.50293,16.6666666666667,16,9.26458333333333,29.25,"exp","exp","fldest",2380,123.490985386386,"Photinia_villosa",126,0.259079699672266,0.522249097258486,1.36099008351425,"Photinia_villosa","nocrop",29
"2522","Spiraea_japonica","zohner16","exp1","Spiraea","japonica","","yes","18","14","8","timeonly",21.5,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,21.5,"exp","exp","fldest",989,61.1148070881309,"Spiraea_japonica",198,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Spiraea_japonica","nocrop",30
"2523","Spiraea_japonica","zohner16","exp1","Spiraea","japonica","","yes","18","14","8","timeonly",17.375,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,17.375,"exp","exp","fldest",1831,95.3468886724268,"Spiraea_japonica",198,0.0237125458429542,-1.00803446073276,0.604387387090495,"Spiraea_japonica","nocrop",30
"2524","Spiraea_japonica","zohner16","exp1","Spiraea","japonica","","yes","18","14","8","timeonly",22.0625,2380,"","","21-Mar-2014",48.16447,11.50293,15.3333333333333,8,9.26458333333333,22.0625,"exp","exp","fldest",2380,123.490985386386,"Spiraea_japonica",198,0.0237125458429542,-1.00803446073276,1.36099008351425,"Spiraea_japonica","nocrop",30
"2525","Spiraea_japonica","zohner16","exp1","Spiraea","japonica","","yes","18","14","16","timeonly",22.5,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,22.5,"exp","exp","fldest",989,61.1148070881309,"Spiraea_japonica",198,0.259079699672266,0.522249097258486,-0.164088760541305,"Spiraea_japonica","nocrop",30
"2526","Spiraea_japonica","zohner16","exp1","Spiraea","japonica","","yes","18","14","16","timeonly",18.9375,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,18.9375,"exp","exp","fldest",1831,95.3468886724268,"Spiraea_japonica",198,0.259079699672266,0.522249097258486,0.604387387090495,"Spiraea_japonica","nocrop",30
"2527","Spiraea_japonica","zohner16","exp1","Spiraea","japonica","","yes","18","14","16","timeonly",21.5,2380,"","","21-Mar-2014",48.16447,11.50293,16.6666666666667,16,9.26458333333333,21.5,"exp","exp","fldest",2380,123.490985386386,"Spiraea_japonica",198,0.259079699672266,0.522249097258486,1.36099008351425,"Spiraea_japonica","nocrop",30
"2516","Spiraea_chamaedryfolia","zohner16","exp1","Spiraea","chamaedryfolia","","yes","18","14","16","timeonly",20.625,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,20.625,"exp","exp","fldest",989,61.1148070881309,"Spiraea_chamaedryfolia",197,0.259079699672266,0.522249097258486,-0.164088760541305,"Spiraea_chamaedryfolia","nocrop",31
"2517","Spiraea_chamaedryfolia","zohner16","exp1","Spiraea","chamaedryfolia","","yes","18","14","8","timeonly",19.625,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,19.625,"exp","exp","fldest",989,61.1148070881309,"Spiraea_chamaedryfolia",197,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Spiraea_chamaedryfolia","nocrop",31
"2518","Spiraea_chamaedryfolia","zohner16","exp1","Spiraea","chamaedryfolia","","yes","18","14","8","timeonly",11.5625,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,11.5625,"exp","exp","fldest",1831,95.3468886724268,"Spiraea_chamaedryfolia",197,0.0237125458429542,-1.00803446073276,0.604387387090495,"Spiraea_chamaedryfolia","nocrop",31
"2519","Spiraea_chamaedryfolia","zohner16","exp1","Spiraea","chamaedryfolia","","yes","18","14","8","timeonly",19.3125,2380,"","","21-Mar-2014",48.16447,11.50293,15.3333333333333,8,9.26458333333333,19.3125,"exp","exp","fldest",2380,123.490985386386,"Spiraea_chamaedryfolia",197,0.0237125458429542,-1.00803446073276,1.36099008351425,"Spiraea_chamaedryfolia","nocrop",31
"2520","Spiraea_chamaedryfolia","zohner16","exp1","Spiraea","chamaedryfolia","","yes","18","14","16","timeonly",12.125,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,12.125,"exp","exp","fldest",1831,95.3468886724268,"Spiraea_chamaedryfolia",197,0.259079699672266,0.522249097258486,0.604387387090495,"Spiraea_chamaedryfolia","nocrop",31
"2521","Spiraea_chamaedryfolia","zohner16","exp1","Spiraea","chamaedryfolia","","yes","18","14","16","timeonly",18.5625,2380,"","","21-Mar-2014",48.16447,11.50293,16.6666666666667,16,9.26458333333333,18.5625,"exp","exp","fldest",2380,123.490985386386,"Spiraea_chamaedryfolia",197,0.259079699672266,0.522249097258486,1.36099008351425,"Spiraea_chamaedryfolia","nocrop",31
"2512","Spiraea_canescens","zohner16","exp1","Spiraea","canescens","","yes","18","14","16","timeonly",18.75,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,18.75,"exp","exp","fldest",989,61.1148070881309,"Spiraea_canescens",196,0.259079699672266,0.522249097258486,-0.164088760541305,"Spiraea_canescens","nocrop",32
"2513","Spiraea_canescens","zohner16","exp1","Spiraea","canescens","","yes","18","14","16","timeonly",14.0625,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,14.0625,"exp","exp","fldest",1831,95.3468886724268,"Spiraea_canescens",196,0.259079699672266,0.522249097258486,0.604387387090495,"Spiraea_canescens","nocrop",32
"2514","Spiraea_canescens","zohner16","exp1","Spiraea","canescens","","yes","18","14","8","timeonly",15.25,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,15.25,"exp","exp","fldest",1831,95.3468886724268,"Spiraea_canescens",196,0.0237125458429542,-1.00803446073276,0.604387387090495,"Spiraea_canescens","nocrop",32
"2515","Spiraea_canescens","zohner16","exp1","Spiraea","canescens","","yes","18","14","8","timeonly",20.5625,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,20.5625,"exp","exp","fldest",989,61.1148070881309,"Spiraea_canescens",196,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Spiraea_canescens","nocrop",32
"2085","Prunus_tenella","zohner16","exp1","Prunus","tenella","","yes","18","14","8","timeonly",21.8946875,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,21.8946875,"exp","exp","fldest",989,61.1148070881309,"Prunus_tenella",151,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Prunus_tenella","nocrop",33
"2086","Prunus_tenella","zohner16","exp1","Prunus","tenella","","yes","18","14","8","timeonly",26.833875,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,26.833875,"exp","exp","fldest",1831,95.3468886724268,"Prunus_tenella",151,0.0237125458429542,-1.00803446073276,0.604387387090495,"Prunus_tenella","nocrop",33
"2087","Prunus_tenella","zohner16","exp1","Prunus","tenella","","yes","18","14","16","timeonly",19.1875,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,19.1875,"exp","exp","fldest",989,61.1148070881309,"Prunus_tenella",151,0.259079699672266,0.522249097258486,-0.164088760541305,"Prunus_tenella","nocrop",33
"2088","Prunus_tenella","zohner16","exp1","Prunus","tenella","","yes","18","14","16","timeonly",24.5625,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,24.5625,"exp","exp","fldest",1831,95.3468886724268,"Prunus_tenella",151,0.259079699672266,0.522249097258486,0.604387387090495,"Prunus_tenella","nocrop",33
"2081","Prunus_serrulata","zohner16","exp1","Prunus","serrulata","","yes","18","14","8","timeonly",30.775375,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,30.775375,"exp","exp","fldest",989,61.1148070881309,"Prunus_serrulata",150,0.0237125458429542,-1.00803446073276,-0.164088760541305,"Prunus_serrulata","nocrop",34
"2082","Prunus_serrulata","zohner16","exp1","Prunus","serrulata","","yes","18","14","8","timeonly",26.833875,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,26.833875,"exp","exp","fldest",1831,95.3468886724268,"Prunus_serrulata",150,0.0237125458429542,-1.00803446073276,0.604387387090495,"Prunus_serrulata","nocrop",34
"2083","Prunus_serrulata","zohner16","exp1","Prunus","serrulata","","yes","18","14","16","timeonly",29.125,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,29.125,"exp","exp","fldest",1831,95.3468886724268,"Prunus_serrulata",150,0.259079699672266,0.522249097258486,0.604387387090495,"Prunus_serrulata","nocrop",34
"2084","Prunus_serrulata","zohner16","exp1","Prunus","serrulata","","yes","18","14","16","timeonly",31.75,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,31.75,"exp","exp","fldest",989,61.1148070881309,"Prunus_serrulata",150,0.259079699672266,0.522249097258486,-0.164088760541305,"Prunus_serrulata","nocrop",34
"2056","Prunus_pensylvanica","flynn18","exp1","Prunus","pensylvanica",NA,"yes","15","5","12","timeonly",35.125,949,"0","0","21-Jan-2015",42.531705,-72.18992,10,12,2.36041666666667,35.125,"exp","exp","bothest",949,60.337337283142,"Prunus_pensylvanica",147,-0.917756069474291,-0.242892681737139,-0.825044211122475,"Prunus_pensylvanica","nocrop",35
"2057","Prunus_pensylvanica","flynn18","exp1","Prunus","pensylvanica",NA,"yes","20","10","12","timeonly",14.25,949,"0","0","21-Jan-2015",42.531705,-72.18992,15,12,2.36041666666667,14.25,"exp","exp","bothest",949,60.337337283142,"Prunus_pensylvanica",147,-0.0351292426143737,-0.242892681737139,-0.825044211122475,"Prunus_pensylvanica","nocrop",35
"2058","Prunus_pensylvanica","flynn18","exp1","Prunus","pensylvanica",NA,"yes","15","5","12","timeonly",21,949,"0","0","21-Jan-2015",42.531705,-72.18992,10,12,2.36041666666667,21,"exp","exp","bothest",949,60.337337283142,"Prunus_pensylvanica",147,-0.917756069474291,-0.242892681737139,-0.825044211122475,"Prunus_pensylvanica","nocrop",35
"2059","Prunus_pensylvanica","flynn18","exp1","Prunus","pensylvanica",NA,"yes","20","10","12","timeonly",21.42857143,949,"0","0","21-Jan-2015",42.531705,-72.18992,15,12,2.36041666666667,21.42857143,"exp","exp","bothest",949,60.337337283142,"Prunus_pensylvanica",147,-0.0351292426143737,-0.242892681737139,-0.825044211122475,"Prunus_pensylvanica","nocrop",35
